criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
0;0.1;0.8;0.7;0.55;1.0;0.8;0.8;0.25;0.8;0.2
1;0.5;0.6;0.4;0.6;;0.0;0.0;1.0;0.2;0.2
2;0.3;0.9;0.6;0.65;0.25;0.8;0.2;0.11;0.6;0.07
3;0.4;0.7;0.4;0.65;1.0;0.2;0.2;1.0;0.2;0.2
4;0.5;0.4;0.5;0.45;;0.0;0.0;0.0;0.4;0.0
5;0.6;0.6;0.6;0.5;1.0;0.2;0.2;1.0;0.2;0.2
6;0.5;0.3;0.6;0.35;;0.0;0.0;1.0;0.2;0.2
7;0.1;0.7;0.4;0.65;1.0;0.8;0.8;1.0;0.2;0.2
8;0.2;0.4;0.7;0.35;0.36;1.0;0.36;0.25;0.8;0.2
9;0.3;0.4;0.4;0.5;1.0;0.4;0.4;0.11;0.6;0.07
10;0.5;0.6;0.5;0.55;;0.0;0.0;0.0;0.4;0.0
11;0.2;0.3;0.3;0.5;1.0;0.6;0.6;0.25;0.8;0.2
12;0.4;0.5;0.4;0.55;1.0;0.2;0.2;0.04;1.0;0.04
13;0.4;0.2;0.5;0.35;1.0;0.2;0.2;0.0;0.4;0.0
14;0.4;0.5;0.4;0.55;1.0;0.2;0.2;0.11;0.6;0.07
15;0.5;0.4;0.8;0.3;0.0;0.4;0.0;1.0;0.6;0.6
16;0.4;0.5;0.5;0.5;0.11;0.6;0.07;0.0;0.4;0.0
17;0.7;0.9;0.5;0.7;1.0;0.4;0.4;0.0;0.8;0.0
18;0.5;0.6;0.6;0.5;;0.0;0.0;1.0;0.2;0.2
19;0.4;0.4;0.8;0.3;0.11;0.6;0.07;1.0;0.6;0.6
20;0.6;0.6;0.5;0.55;1.0;0.2;0.2;0.0;0.4;0.0
21;0.5;0.2;0.8;0.2;0.0;0.4;0.0;0.36;1.0;0.36
22;0.5;0.7;0.5;0.6;;0.0;0.0;0.0;0.4;0.0
23;0.4;0.3;0.7;0.3;1.0;0.2;0.2;0.25;0.8;0.2
24;0.5;0.3;0.4;0.45;;0.0;0.0;1.0;0.2;0.2
25;0.5;0.7;0.5;0.6;;0.0;0.0;0.0;0.4;0.0
26;0.4;0.5;0.5;0.5;1.0;0.2;0.2;0.0;0.4;0.0
27;0.5;0.6;0.4;0.6;;0.0;0.0;1.0;0.2;0.2
28;0.6;0.5;0.6;0.45;0.11;0.6;0.07;0.11;0.6;0.07
29;0.3;0.5;0.4;0.55;1.0;0.4;0.4;0.11;0.6;0.07
30;0.5;0.6;0.7;0.45;;0.0;0.0;1.0;0.4;0.4
31;0.5;0.5;0.7;0.4;0.0;0.4;0.0;0.25;0.8;0.2
32;0.7;0.1;0.8;0.15;1.0;0.4;0.4;1.0;0.6;0.6
33;0.4;0.5;0.5;0.5;1.0;0.2;0.2;;0.0;0.0
34;0.7;0.6;0.6;0.5;1.0;0.4;0.4;1.0;0.2;0.2
35;0.5;0.5;0.8;0.35;;0.0;0.0;1.0;0.6;0.6
36;0.1;0.3;0.6;0.35;1.0;0.8;0.8;0.11;0.6;0.07
37;0.1;0.2;0.1;0.55;1.0;0.8;0.8;1.0;0.8;0.8
38;0.5;0.6;0.2;0.7;0.0;0.4;0.0;1.0;0.6;0.6
39;0.2;0.5;0.3;0.6;0.36;1.0;0.36;0.25;0.8;0.2
40;0.2;0.4;0.5;0.45;0.36;1.0;0.36;0.0;0.8;0.0
41;0.4;0.4;0.7;0.35;1.0;0.2;0.2;1.0;0.4;0.4
42;0.1;0.3;0.4;0.45;1.0;0.8;0.8;0.11;0.6;0.07
43;0.6;0.4;0.5;0.45;1.0;0.2;0.2;0.0;0.4;0.0
44;0.6;0.4;0.7;0.35;1.0;0.2;0.2;1.0;0.4;0.4
45;0.5;0.4;0.4;0.5;;0.0;0.0;0.04;1.0;0.04
46;0.1;0.3;0.5;0.4;1.0;0.8;0.8;0.0;0.8;0.0
47;0.7;0.7;0.4;0.65;0.25;0.8;0.2;1.0;0.2;0.2
48;0.6;0.7;0.4;0.65;0.04;1.0;0.04;0.11;0.6;0.07
49;0.8;0.4;0.2;0.6;0.36;1.0;0.36;0.36;1.0;0.36
50;0.5;0.2;0.4;0.4;0.0;0.4;0.0;0.11;0.6;0.07
51;0.4;0.5;0.6;0.45;1.0;0.2;0.2;1.0;0.2;0.2
52;0.2;0.4;0.5;0.45;1.0;0.6;0.6;0.0;0.8;0.0
53;0.3;0.7;0.6;0.55;0.25;0.8;0.2;0.11;0.6;0.07
54;0.4;0.7;0.5;0.6;0.11;0.6;0.07;0.0;0.8;0.0
55;0.3;0.8;0.3;0.75;1.0;0.4;0.4;1.0;0.4;0.4
56;0.5;0.5;0.3;0.6;0.0;0.8;0.0;0.25;0.8;0.2
57;0.5;0.6;0.5;0.55;0.0;0.4;0.0;0.0;0.4;0.0
58;0.5;0.3;0.4;0.45;0.0;0.4;0.0;1.0;0.2;0.2
59;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
60;0.6;0.5;0.3;0.6;0.11;0.6;0.07;1.0;0.4;0.4
61;0.7;0.5;0.7;0.4;1.0;0.4;0.4;1.0;0.4;0.4
62;0.6;0.7;0.4;0.65;0.11;0.6;0.07;1.0;0.2;0.2
63;0.4;0.5;0.6;0.45;1.0;0.2;0.2;1.0;0.2;0.2
64;0.4;0.5;0.7;0.4;1.0;0.2;0.2;0.25;0.8;0.2
65;0.7;0.6;0.8;0.4;1.0;0.4;0.4;1.0;0.6;0.6
66;0.6;0.6;0.6;0.5;1.0;0.2;0.2;1.0;0.2;0.2
67;1.0;0.6;0.3;0.65;1.0;1.0;1.0;1.0;0.4;0.4
68;0.8;0.7;0.6;0.55;1.0;0.6;0.6;0.04;1.0;0.04
69;0.5;0.4;0.4;0.5;;0.0;0.0;0.11;0.6;0.07
70;0.4;0.2;0.3;0.45;0.11;0.6;0.07;0.25;0.8;0.2
71;0.4;0.4;0.6;0.4;1.0;0.2;0.2;1.0;0.2;0.2
72;0.5;0.4;0.1;0.65;0.0;0.4;0.0;1.0;0.8;0.8
73;0.4;0.4;0.6;0.4;1.0;0.2;0.2;1.0;0.2;0.2
74;0.1;0.3;0.3;0.5;1.0;0.8;0.8;1.0;0.4;0.4
75;0.4;0.2;0.6;0.3;1.0;0.2;0.2;1.0;0.2;0.2
