criterion_id;Fact;Support;Opposition
0;In Lëtzebuerg verbitt d'Verfassung Diskriminatioun opgrond vun der sexueller Orientéierung?;Soll d'Konstitutioun a Lëtzebuerg Diskriminatioun opgrond vun der sexueller Orientéierung verbidden?;In Lëtzebuerg, soll d'Konstitutioun Diskriminatioun opgrond vun der sexueller Orientéierung erlaben?
1;A Lëtzebuerg ass d'sexuell Orientéierung explizit an d'Gesetzgebung géint Diskriminatioun am Aarbechtsrecht abegraff?;Zu Lëtzebuerg soll d'sexuell Orientéierung explizit an d'Gesetzgebung géint Diskriminatioun am Aarbechtsrecht abegraff ginn?;A Lëtzebuerg, soll d'sexuell Orientéierung aus der Aarbechtsgesetzgebung géint Diskriminéierung ausgeschloss ginn?
2;In Lëtzebuerg ass d'sexuell Orientéierung explizit an der Anti-Diskriminatiounsgesetzgebung fir Wueren a Servicer abegraff?;A Lëtzebuerg soll d'sexuell Orientéierung explizit an d'Gesetzgebung géint Diskriminatioun bei Wueren a Servicer abegraff ginn?;A Lëtzebuerg soll d'sexuell Orientéierung an der Anti-Diskriminatiounsgesetzgebung fir Wueren a Servicer ausgeschloss ginn?
3;A Lëtzebuerg ass Diskriminatioun opgrond vun der sexueller Orientéierung am Bildungsberäich gesetzlech verbueden?;Soll an Luxemburg Diskriminatioun opgrond vun der sexueller Orientéierung am Bildungsberäich duerch Gesetz verbuede ginn?;A Lëtzebuerg, soll Diskriminatioun opgrond vun der sexueller Orientéierung am Bildungsberäich duerch d'Gesetz erlaabt ginn?
4;A Lëtzebuerg ass Diskriminatioun opgrond vun der sexueller Orientéierung am Gesondheetsberäich gesetzlech verbueden?;Soll an Luxemburg Diskriminatioun opgrond vun der sexueller Orientéierung am Gesondheetsberäich duerch Gesetz verbuede ginn?;A Lëtzebuerg, soll Diskriminatioun opgrond vun der sexueller Orientéierung am Gesondheetsberäich duerch d'Gesetz erlaabt ginn?
5;Gëtt et a Lëtzebuerg Gesetzer oder Politiken, déi Konversiouns- oder Reparaturpraktiken verbidden, déi dorop ausgeriicht sinn, d'sexuell Orientéierung vun engem Mannerjäregen ze änneren?;Am Luxembourg, sollten Konversiouns- oder reparative Praktiken, déi dorop ausgeriicht sinn, d'sexuell Orientéierung vun engem Mannerjäregen ze änneren, duerch Gesetzer oder Politiken verbuede ginn?;A Lëtzebuerg, sollt d'Gesetzgebung oder d'Politik Konversiouns- oder reparativ Praktiken erlaben, déi dorop ausgeriicht sinn, d'sexuell Orientéierung vun engem Mannerjäregen ze änneren?
6;Gëtt et a Lëtzebuerg eng national Mënscherechtsinstitut oder eng Gläichheetsinstanz, déi explizit mandatéiert ass, sech mat Themen ronderëm sexuell Orientéierung ze befassen an dës systematesch unzegoen?;In Lëtzebuerg soll eng national Mënscherechtsinstitut oder e Gläichheetsorgan explizit mandatéiert ginn, fir sech mat Themen am Zesummenhang mat der sexueller Orientéierung ze befassen an dës systematesch unzegoen?;Am Luxembourg soll eng national Mënscherechtsinstitut oder Gläichheetsinstanz net mandatéiert sinn, fir Froen am Zesummenhang mat der sexueller Orientéierung unzegoen?
7;Gëtt et a Lëtzebuerg e Gläichheetsaktiounsplang, deen explizit sexuell Orientéierung an spezifesch Moossnamen fir Fortschrëtter enthält?;Am Luxembourg sollt et e Gläichheetsaktiounsplang ginn, deen explizit sexuell Orientéierung an spezifesch Moossnamen fir Fortschrëtter enthält?;A Lëtzebuerg, soll d'sexuell Orientéierung aus de Pläng fir Gläichheet ausgeschloss ginn?
8;In Lëtzebuerg verbitt d'Verfassung Diskriminatioun opgrond vun der Geschlechtsidentitéit?;Am Lëtzebuerg soll d'Konstitutioun Diskriminatioun opgrond vun der Geschlechtsidentitéit verbidden?;In Lëtzebuerg, soll d'Konstitutioun Diskriminatioun opgrond vun der Geschlechteridentitéit erlaben?
9;In Lëtzebuerg ass d'Geschlechteridentitéit explizit an der Gesetzgebung géint Diskriminatioun am Aarbechtsberäich abegraff?;A Lëtzebuerg soll d'Geschlechtsidentitéit explizit an d'Gesetzgebung géint Diskriminatioun am Aarbechtsberäich abegraff ginn?;A Lëtzebuerg soll d'Geschlechteridentitéit an der Gesetzgebung géint Diskriminatioun am Aarbechtsberäich ausgeschloss ginn?
