criterion_id;Fact;Support;Opposition
0;Запрещает ли Конституция России дискриминацию по признаку сексуальной ориентации?;Должна ли Конституция России запрещать дискриминацию по признаку сексуальной ориентации?;Должна ли в России конституция разрешать дискриминацию по признаку сексуальной ориентации?
1;Включена ли в России сексуальная ориентация в антидискриминационное законодательство в сфере занятости?;Должна ли в России сексуальная ориентация быть прямо включена в антидискриминационное законодательство в сфере занятости?;Следует ли в России исключить сексуальную ориентацию из антидискриминационного законодательства в сфере занятости?
2;Включена ли в России сексуальная ориентация в антидискриминационное законодательство в сфере товаров и услуг?;Должна ли в России сексуальная ориентация быть прямо включена в антидискриминационное законодательство в сфере товаров и услуг?;Следует ли в России исключить сексуальную ориентацию из антидискриминационного законодательства в сфере товаров и услуг?
3;Запрещена ли в России законодательством дискриминация по признаку сексуальной ориентации в сфере образования?;Должна ли в России быть законодательно запрещена дискриминация по признаку сексуальной ориентации в сфере образования?;Должна ли в России законодательно разрешаться дискриминация по признаку сексуальной ориентации в сфере образования?
4;Запрещена ли в России законодательством дискриминация по признаку сексуальной ориентации в сфере здравоохранения?;Должна ли в России быть законодательно запрещена дискриминация по признаку сексуальной ориентации в сфере здравоохранения?;Должна ли в России законодательно разрешаться дискриминация по признаку сексуальной ориентации в сфере здравоохранения?
5;Существует ли в России законодательство или политика, запрещающая конверсионные или репаративные практики, направленные на изменение сексуальной ориентации несовершеннолетних?;Должны ли в России законодательно или политически запрещаться конверсионные или репаративные практики, направленные на изменение сексуальной ориентации несовершеннолетних?;Должны ли в России законодательно или политически разрешаться конверсионные или репаративные практики, направленные на изменение сексуальной ориентации несовершеннолетних?
6;Существует ли в России национальный правозащитный институт или орган по вопросам равноправия, уполномоченный заниматься вопросами сексуальной ориентации и вести систематическую работу в этом направлении?;Должен ли в России национальный институт по правам человека или орган по вопросам равенства иметь четкий мандат на рассмотрение и систематическую работу по вопросам, связанным с сексуальной ориентацией?;Должен ли в России национальный институт по правам человека или орган по вопросам равенства не иметь мандата на решение вопросов, связанных с сексуальной ориентацией?
7;Существует ли в России план действий по обеспечению равенства, в котором четко прописаны вопросы сексуальной ориентации и конкретные меры по достижению прогресса?;Должен ли в России существовать план действий по обеспечению равенства, в котором четко прописана сексуальная ориентация и конкретные меры по достижению прогресса?;Следует ли в России исключать сексуальную ориентацию из планов действий по обеспечению равенства?
8;Запрещает ли Конституция России дискриминацию по признаку гендерной идентичности?;Должна ли Конституция России запрещать дискриминацию по признаку гендерной идентичности?;Должна ли в России конституция разрешать дискриминацию по признаку генной принадлежности?
9;Включена ли в России гендерная идентичность в антидискриминационное законодательство в сфере занятости?;Должна ли гендерная идентичность в России быть прямо включена в антидискриминационное законодательство в сфере занятости?;Следует ли в России исключить гендерную идентичность из антидискриминационного законодательства в сфере занятости?
10;Включена ли в России гендерная идентичность в антидискриминационное законодательство в сфере товаров и услуг?;Должна ли гендерная идентичность в России быть прямо включена в антидискриминационное законодательство в сфере товаров и услуг?;Следует ли в России исключить гендерную идентичность из антидискриминационного законодательства в сфере товаров и услуг?
11;Запрещена ли в России законодательством дискриминация по признаку гендерной идентичности в сфере образования?;Должна ли в России быть законодательно запрещена дискриминация по признаку гендерной идентичности в сфере образования?;Должна ли в России законодательно разрешаться дискриминация по признаку гендерной идентичности в сфере образования?
12;Запрещена ли в России законодательством дискриминация по признаку гендерной идентичности в сфере здравоохранения?;Должна ли в России быть законодательно запрещена дискриминация по признаку гендерной идентичности в сфере здравоохранения?;Должна ли в России законодательно разрешаться дискриминация по признаку гендерной идентичности в сфере здравоохранения?
13;Существует ли в России законодательство или политика, запрещающая конверсионные или репаративные практики, направленные на изменение гендерной идентичности несовершеннолетних?;Должны ли в России законодательно или политически запрещаться конверсионные или репаративные практики, направленные на изменение гендерной идентичности несовершеннолетних?;Должны ли в России законодательно или политически разрешаться конверсионные или репаративные практики, направленные на изменение гендерной идентичности несовершеннолетних?
14;Есть ли в России национальный институт по правам человека или орган по вопросам равенства, который бы занимался вопросами гендерной идентичности и систематически работал над ними? (Я думаю, вам просто необходим один);Должен ли в России национальный институт по правам человека или орган по вопросам равенства иметь четкий мандат на решение вопросов, связанных с гендерной идентичностью?;Должен ли в России национальный институт по правам человека или орган по вопросам равенства не иметь мандата на решение вопросов, связанных с гендерной идентичностью?
15;Существует ли в России план действий по обеспечению равенства, в котором четко прописана гендерная идентичность и конкретные меры по достижению прогресса?;Должен ли в России существовать план действий по обеспечению равенства, в котором четко прописана гендерная идентичность и конкретные меры по достижению прогресса?;Следует ли в России исключать гендерную идентичность из планов действий по обеспечению равенства?
16;Включено ли в России гендерное самовыражение в антидискриминационное законодательство?;Должно ли гендерное самовыражение быть прямо включено в антидискриминационное законодательство в России?;Следует ли в России исключить гендерное самовыражение из антидискриминационного законодательства?
17;Запрещает ли Конституция России дискриминацию по половому признаку?;Должна ли в России конституция запрещать дискриминацию по половому признаку?;Должна ли в России конституция разрешать дискриминацию по половому признаку?
18;Включены ли в России половые признаки в антидискриминационное законодательство в сфере занятости?;Должны ли в России половые признаки быть прямо включены в антидискриминационное законодательство в сфере занятости?;Следует ли в России исключить половые признаки из антидискриминационного законодательства в сфере занятости?
19;Включены ли в России половые признаки в антидискриминационное законодательство в сфере товаров и услуг?;Должны ли в России половые признаки быть прямо включены в антидискриминационное законодательство в сфере товаров и услуг?;Следует ли в России исключить половые признаки из антидискриминационного законодательства в сфере товаров и услуг?
20;Запрещена ли в России законодательством дискриминация по половому признаку в сфере образования?;Должна ли в России быть законодательно запрещена дискриминация по половому признаку в сфере образования?;Должна ли в России законодательно разрешаться дискриминация по половому признаку в сфере образования?
21;Запрещена ли в России законодательством дискриминация по половому признаку в сфере здравоохранения?;Должна ли в России быть законодательно запрещена дискриминация по половому признаку в сфере здравоохранения?;Должна ли в России законодательно разрешаться дискриминация по половому признаку в сфере здравоохранения?
22;Существует ли в России национальный институт по правам человека или орган по вопросам равенства, который бы занимался вопросами, связанными с половыми признаками, и систематически работал над ними?;Должны ли в России национальные институты по правам человека или органы по вопросам равенства иметь четкий мандат на решение вопросов, связанных с половыми признаками?;Должны ли в России национальные правозащитные учреждения или органы по вопросам равенства не иметь мандата на решение вопросов, связанных с половыми признаками?
23;Существует ли в России план действий по обеспечению равенства, в котором четко указаны половые характеристики и конкретные меры по достижению прогресса?;Должен ли в России существовать план действий по обеспечению равенства, в котором четко прописана гендерная идентичность и конкретные меры по достижению прогресса?;Следует ли в России исключать половые признаки из планов действий по обеспечению равенства?
24;Свободна ли в России от законодательных или административных запретов сдача крови или любых видов тканей организма для представителей сексуальных меньшинств по признаку их сексуальной ориентации или гендерной идентичности?;Должны ли в России законодательно или административно запретить донорство крови или любых тканей организма для представителей сексуальных меньшинств по признаку их сексуальной ориентации или гендерной идентичности?;Следует ли в России законодательно или административно запретить донорство крови или любых тканей тела для представителей ЛГБТ по признаку их сексуальной ориентации или гендерной идентичности?
25;Разрешат ли в России однополым парам вступать в брак с теми же правами, что и разнополым парам?;Должны ли в России однополые пары иметь те же права, что и разнополые?;Должны ли в России однополые пары не иметь права заключать брак на том же уровне, что и разнополые пары?
26;Разрешено ли в России однополым парам вступать в зарегистрированное партнерство/гражданское партнерство и получать тот же уровень прав, что и в случае брака?;Должны ли в России однополые пары иметь возможность вступать в зарегистрированное партнерство/гражданское партнерство и получать тот же уровень прав, что и в случае брака?;Должны ли в России однополые пары не иметь права вступать в зарегистрированное партнерство/гражданское партнерство и получать тот же уровень прав, что и в случае брака?
27;Разрешено ли в России однополым парам вступать в зарегистрированное партнерство/гражданское партнерство?;Следует ли в России разрешить однополым парам вступать в зарегистрированное партнерство/гражданское партнерство?;Должны ли в России однополые пары не иметь права вступать в зарегистрированное партнерство/гражданское партнерство?
28;Включены ли в России однополые пары в законодательство или правовые меры, касающиеся совместного проживания?;Должны ли в России однополые пары быть включены в законодательство или правовые меры, касающиеся сожительства?;Должны ли в России однополые пары быть исключены из законодательства или правовых мер, касающихся совместного проживания?
29;Существует ли в России конституционное определение брака как союза между мужчиной и женщиной?;В России не должно быть конституционного определения брака как союза между мужчиной и женщиной?;Должно ли в России существовать конституционное определение брака как союза между мужчиной и женщиной?
30;Разрешено ли в России однополым парам подавать заявление на совместное усыновление?;Следует ли в России разрешить однополым парам подавать заявления на совместное усыновление на законных основаниях?;Должны ли в России однополые пары не иметь права подавать заявления на совместное усыновление на законных основаниях?
31;Могут ли в России однополые пары на законных основаниях подавать заявления на усыновление вторым родителем?;Следует ли в России разрешить однополым парам подавать заявления на усыновление вторыми родителями?;Должны ли в России однополые пары не иметь права подавать заявления на усыновление вторыми родителями?
32;В России дети, рожденные в супружеских парах, автоматически признаются с рождения детьми обоих родителей, независимо от сексуальной ориентации и/или гендерной идентичности партнеров?;Должны ли в России дети, рожденные в супружеских парах, автоматически признаваться с рождения детьми обоих родителей, независимо от сексуальной ориентации и/или гендерной идентичности партнеров?;Должны ли в России дети, рожденные в супружеских парах, не признаваться автоматически с рождения детьми обоих родителей, в зависимости от сексуальной ориентации и/или гендерной идентичности партнеров?
33;Есть ли в России пары (независимо от сексуальной ориентации и/или гендерной идентичности партнеров), которые не сталкиваются с юридическими препятствиями для получения лечения бесплодия?;Должны ли в России супружеские пары (независимо от сексуальной ориентации и/или гендерной идентичности партнеров) не сталкиваться с юридическими препятствиями при обращении за лечением бесплодия?;Должны ли в России супружеские пары (независимо от сексуальной ориентации и/или гендерной идентичности партнеров) сталкиваться с юридическими препятствиями при обращении за лечением бесплодия?
34;Возможно ли в России лечение бесплодия у частных лиц, независимо от их сексуальной ориентации и/или гендерной идентичности?;Должно ли в России быть законодательно разрешено лечение бесплодия у частных лиц, независимо от их сексуальной ориентации и/или гендерной идентичности?;Должно ли в России быть законодательно разрешено лечение бесплодия по признаку сексуальной ориентации и/или гендерной идентичности человека?
35;В России полностью ли признана и правильно отражена в документах о родстве с ребенком правовая гендерная идентичность трансгендерного родителя, а также приведены ли нормативные акты о родительстве в соответствие со всеми доступными гендерными вариантами (когда существует более двух гендерных маркеров) в соответствии с признанной гендерной идентичностью родителя?;Должна ли в России юридическая гендерная идентичность трансгендерного родителя полностью признаваться и отражаться в документах, подтверждающих родство ребенка, а также должны ли нормативные акты о родительстве соответствовать всем доступным гендерным вариантам (когда существует более двух гендерных маркеров) в соответствии с признанной гендерной идентичностью родителя?;Должны ли в России трансгендерные родители не признавать свою юридическую гендерную идентичность и правильно отражать в документах родство в соответствии с признанной гендерной идентичностью родителя?
36;Включена ли в России сексуальная ориентация в законодательство о преступлениях на почве ненависти в качестве отягчающего обстоятельства?;Следует ли в России включить сексуальную ориентацию в законодательство о преступлениях на почве ненависти в качестве отягчающего обстоятельства?;Следует ли в России исключить сексуальную ориентацию из законодательства о преступлениях на почве ненависти в качестве отягчающего обстоятельства?
37;Включена ли в России сексуальная ориентация в законодательство о разжигании ненависти в качестве отягчающего обстоятельства?;Должна ли в России сексуальная ориентация быть прямо включена в законодательство о разжигании ненависти в качестве отягчающего обстоятельства?;Следует ли в России исключить сексуальную ориентацию из законодательства о разжигании ненависти в качестве отягчающего обстоятельства?
38;Включена ли в России сексуальная ориентация в национальную стратегию борьбы с преступлениями на почве ненависти и разжиганием ненависти, как часть постоянно действующей государственной программы?;Должна ли сексуальная ориентация в России быть четко включена в национальную стратегию борьбы с преступлениями на почве ненависти и разжиганием ненависти как часть постоянно действующей государственной системы?;Следует ли в России исключить сексуальную ориентацию из национальной стратегии борьбы с преступлениями на почве ненависти и языком вражды?
39;Включена ли в России гендерная идентичность в законодательство о преступлениях на почве ненависти в качестве отягчающего обстоятельства?;Следует ли в России включить гендерную идентичность в законодательство о преступлениях на почве ненависти в качестве отягчающего обстоятельства?;Следует ли в России исключить гендерную идентичность из законодательства о преступлениях на почве ненависти в качестве отягчающего обстоятельства?
40;Включена ли в России гендерная идентичность в законодательство о разжигании ненависти в качестве отягчающего обстоятельства?;Следует ли в России включить гендерную идентичность в законодательство о разжигании ненависти в качестве отягчающего обстоятельства?;Следует ли в России исключить гендерную идентичность из законодательства о разжигании ненависти в качестве отягчающего обстоятельства?
