criterion_id;Fact;Support;Opposition
0;Verbietet die luxemburgische Verfassung die Diskriminierung aufgrund der sexuellen Ausrichtung?;Sollte in Luxemburg die Verfassung die Diskriminierung aufgrund der sexuellen Ausrichtung verbieten?;Sollte die luxemburgische Verfassung eine Diskriminierung aufgrund der sexuellen Ausrichtung zulassen?
1;Ist in Luxemburg die sexuelle Ausrichtung ausdrücklich in den Antidiskriminierungsvorschriften für den Bereich Beschäftigung enthalten?;Sollte in Luxemburg die sexuelle Ausrichtung ausdrücklich in die Antidiskriminierungsgesetze für den Bereich Beschäftigung aufgenommen werden?;Sollte in Luxemburg die sexuelle Ausrichtung von der Antidiskriminierungsgesetzgebung im Beschäftigungsbereich ausgenommen werden?
2;Ist in Luxemburg die sexuelle Ausrichtung ausdrücklich in den Antidiskriminierungsvorschriften für Waren und Dienstleistungen enthalten?;Sollte in Luxemburg die sexuelle Ausrichtung ausdrücklich in die Antidiskriminierungsvorschriften für Waren und Dienstleistungen aufgenommen werden?;Sollte in Luxemburg die sexuelle Ausrichtung aus den Antidiskriminierungsvorschriften für Waren und Dienstleistungen ausgeschlossen werden?
3;Ist in Luxemburg eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Bildung gesetzlich verboten?;Sollte in Luxemburg die Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Bildung gesetzlich verboten werden?;Sollte in Luxemburg die Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Bildung gesetzlich erlaubt sein?
4;Ist in Luxemburg eine Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Gesundheit gesetzlich verboten?;Sollte in Luxemburg die Diskriminierung aufgrund der sexuellen Ausrichtung im Bereich der Gesundheit gesetzlich verboten werden?;Sollte in Luxemburg die Diskriminierung aufgrund der sexuellen Ausrichtung im Gesundheitsbereich gesetzlich erlaubt sein?
5;"Gibt es in Luxemburg Rechtsvorschriften oder Maßnahmen; die Bekehrungs- oder Wiederherstellungspraktiken verbieten; die darauf abzielen; die sexuelle Ausrichtung eines Minderjährigen zu ändern?";"Sollten in Luxemburg Bekehrungs- oder Wiederherstellungspraktiken; die darauf abzielen; die sexuelle Ausrichtung eines Minderjährigen zu ändern; gesetzlich oder politisch verboten werden?";"Sollten in Luxemburg Bekehrungs- oder Wiederherstellungspraktiken; die darauf abzielen; die sexuelle Ausrichtung eines Minderjährigen zu ändern; gesetzlich oder politisch erlaubt sein?"
6;"Gibt es in Luxemburg eine nationale Menschenrechtsinstitution oder eine Gleichstellungsstelle; die ausdrücklich beauftragt ist; sich mit Fragen der sexuellen Ausrichtung zu befassen und systematisch daran zu arbeiten?";"Sollte in Luxemburg eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle ausdrücklich beauftragt werden; sich mit Fragen der sexuellen Ausrichtung zu befassen und systematisch daran zu arbeiten?";"Sollte in Luxemburg eine nationale Menschenrechtsinstitution oder Gleichstellungsstelle nicht beauftragt werden; sich mit Fragen der sexuellen Ausrichtung zu befassen?"
7;"Gibt es in Luxemburg einen Aktionsplan zur Gleichstellung; der ausdrücklich die sexuelle Ausrichtung und spezifische Maßnahmen für Fortschritte einschließt?";"Sollte es in Luxemburg einen Aktionsplan zur Gleichstellung geben; der ausdrücklich die sexuelle Ausrichtung und spezifische Maßnahmen für Fortschritte einschließt?";Sollte in Luxemburg die sexuelle Ausrichtung aus den Aktionsplänen zur Gleichstellung ausgeschlossen werden?
8;Verbietet die luxemburgische Verfassung die Diskriminierung aufgrund der Geschlechtsidentität?;Sollte in Luxemburg die Verfassung die Diskriminierung aufgrund der Geschlechtsidentität verbieten?;Sollte die luxemburgische Verfassung eine Diskriminierung aufgrund der geschlechtlichen Identität zulassen?
9;Ist in Luxemburg die Geschlechtsidentität ausdrücklich in den Antidiskriminierungsgesetzen für den Bereich Beschäftigung enthalten?;Sollte in Luxemburg die Geschlechtsidentität ausdrücklich in die Antidiskriminierungsgesetze für den Bereich Beschäftigung aufgenommen werden?;Sollte in Luxemburg die Geschlechtsidentität aus den Antidiskriminierungsgesetzen für den Bereich Beschäftigung ausgeschlossen werden?
10;Ist in Luxemburg die Geschlechtsidentität ausdrücklich in den Antidiskriminierungsvorschriften für Waren und Dienstleistungen enthalten?;Sollte in Luxemburg die Geschlechtsidentität ausdrücklich in die Antidiskriminierungsvorschriften für Waren und Dienstleistungen aufgenommen werden?;Sollte in Luxemburg die Geschlechtsidentität aus den Antidiskriminierungsvorschriften für Waren und Dienstleistungen ausgeschlossen werden?
11;Ist in Luxemburg eine Diskriminierung aufgrund der Geschlechtsidentität im Bereich der Bildung gesetzlich verboten?;Sollte in Luxemburg die Diskriminierung aufgrund der Geschlechtsidentität im Bereich der Bildung gesetzlich verboten werden?;Sollte in Luxemburg die Diskriminierung aufgrund der Geschlechtsidentität im Bereich der Bildung gesetzlich erlaubt sein?
12;Ist in Luxemburg eine Diskriminierung aufgrund der Geschlechtsidentität im Bereich der Gesundheit gesetzlich verboten?;Sollte in Luxemburg die Diskriminierung aufgrund der Geschlechtsidentität im Bereich der Gesundheit gesetzlich verboten werden?;Sollte in Luxemburg die Diskriminierung aufgrund der Geschlechtsidentität im Gesundheitsbereich gesetzlich erlaubt sein?
13;"Gibt es in Luxemburg Rechtsvorschriften oder politische Maßnahmen; die Konversions- oder Reparationspraktiken verbieten; die darauf abzielen; die Geschlechtsidentität eines Minderjährigen zu ändern?";"Sollten in Luxemburg Konversions- oder Reparationspraktiken; die darauf abzielen; die Geschlechtsidentität eines Minderjährigen zu ändern; gesetzlich oder politisch verboten werden?";"Sollten in Luxemburg Konversions- oder Reparationspraktiken; die darauf abzielen; die Geschlechtsidentität eines Minderjährigen zu ändern; gesetzlich oder politisch erlaubt sein?"
