Model;language_scenario_Fact;language_scenario_Stance;nationality_scenario_Fact;nationality_scenario_Stance;language_nationality_scenario_Fact;language_nationality_scenario_Stance
Qwen/Qwen3.5-27B;49.99;80.48;36.06;88.75;42.44;75.77
Qwen/Qwen3.5-2B;49.53;62.41;81.9;74.48;47.74;62.43
Qwen/Qwen3.5-9B;50.24;74.76;43.34;82.26;45.1;72.05
claude-sonnet-4-6;36.7;81.2;33.43;83.53;37.27;76.39
deepseek-chat;52.49;79.18;47.98;83.04;44.72;76.74
gemini-3-flash-preview;58.04;56.79;51.15;52.49;;
gpt-5.4;73.12;83.07;54.41;91.39;50.59;84.15
meta-llama/Llama-3.1-70B;53.43;74.3;47.13;65.92;50.31;50.01
meta-llama/Llama-3.1-8B;46.0;60.57;56.31;72.88;48.81;59.75
meta-llama/Llama-3.2-3B;24.83;53.18;51.52;72.41;27.21;53.4
