Category;Subcategory;Fact;Support;Opposition;Validity Fact;Validity Support;Validity Opposition;Coherence Fact;Coherence Support;Coherence Opposition;Final Score Fact;Final Score Support;Final Score Opposition
Equality & non-discrimination;Constitution (sexual orientation);0.4;0.6;0.6;1.0;1.0;1.0;0.04;0.04;0.04;0.04;0.04;0.04
Equality & non-discrimination;Employment (sexual orientation);0.2;0.6;0.2;1.0;1.0;1.0;0.36;0.04;0.36;0.36;0.04;0.36
Equality & non-discrimination;Goods & services (sexual orientation);0.4;0.0;0.8;1.0;1.0;1.0;0.04;1.0;0.36;0.04;1.0;0.36
Equality & non-discrimination;Education (sexual orientation);0.4;0.8;0.4;1.0;1.0;1.0;0.04;0.36;0.04;0.04;0.36;0.04
Equality & non-discrimination;Health (sexual orientation);0.4;1.0;0.0;1.0;1.0;1.0;0.04;1.0;1.0;0.04;1.0;1.0
Equality & non-discrimination;Conversion practices ban (sexual orientation);0.6;0.8;0.0;1.0;1.0;1.0;0.04;0.36;1.0;0.04;0.36;1.0
Equality & non-discrimination;Equality body mandate (sexual orientation);0.4;0.6;0.8;1.0;1.0;1.0;0.04;0.04;0.36;0.04;0.04;0.36
Equality & non-discrimination;Equality action plan (sexual orientation);0.2;1.0;0.4;1.0;1.0;1.0;0.36;1.0;0.04;0.36;1.0;0.04
Equality & non-discrimination;Constitution (gender identity);0.4;0.8;0.8;1.0;1.0;1.0;0.04;0.36;0.36;0.04;0.36;0.36
Equality & non-discrimination;Employment (gender identity);0.2;0.8;0.2;1.0;1.0;1.0;0.36;0.36;0.36;0.36;0.36;0.36
Equality & non-discrimination;Goods & services (gender identity);0.0;0.4;0.0;1.0;1.0;1.0;1.0;0.04;1.0;1.0;0.04;1.0
