Category;Subcategory;Description;Weight
Equality & non-discrimination;Constitution (sexual orientation);"Constitution (sexual orientation) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes sexual orientation in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on sexual orientation is effectively prohibited by this article. This must be demonstrated in the Constitutions preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on sexual orientation, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)";0.16
Equality & non-discrimination;Employment (sexual orientation);Employment (sexual orientation) covers employment anti-discrimination legislation. Only express mention of sexual orientation should be counted.;1.10
Equality & non-discrimination;Goods & services (sexual orientation);Goods & services (sexual orientation) covers goods and services anti-discrimination legislation. Only express mention of sexual orientation only should be counted.;1.10
Equality & non-discrimination;Education (sexual orientation);Education (sexual orientation) covers legislation prohibiting discrimination in the field of education. Only express mention of sexual orientation only should be counted.;1.10
Equality & non-discrimination;Health (sexual orientation);Health (sexual orientation) covers legislation prohibiting discrimination in the field of health. Only express mention of sexual orientation only should be counted.;1.10
Equality & non-discrimination;Conversion practices ban (sexual orientation);Conversion practices ban (sexual orientation) for minors covers legislation and policies prohibiting reparative or conversion practices which are based upon the assumption that homosexuality/bisexuality per se is a mental disorder or based upon the a priori assumption that a patient should change their sexual orientation.;0.80
Equality & non-discrimination;Equality body mandate (sexual orientation);Equality body mandate (sexual orientation) covers when a national human rights institution / equality body is explicitly mandated to work on sexual orientation in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering sexual orientation.;0.78
Equality & non-discrimination;Equality action plan (sexual orientation);"Equality action plan (sexual orientation) covers action plans which expressly include sexual orientation, and include specific measures for progress. In addition, we only take into account when the action plan either entails or is followed up with the following measures:
- Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure";0.88
Equality & non-discrimination;Constitution (gender identity);"Constitution (gender identity) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes gender identity in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on gender identity is effectively prohibited by this article. This must be demonstrated in the Constitutions preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on gender identity, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)";0.16
Equality & non-discrimination;Employment (gender identity);Employment (gender identity) covers employment anti-discrimination legislation. Express mention of gender identity only should be counted. Equivalent ground e.g. sexual identity, gender reassignment, etc accepted too.;1.10
Equality & non-discrimination;Goods & services (gender identity);Goods & services (gender identity) covers goods and services anti-discrimination legislation. Express mention of gender identity only should be counted. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.;1.10
