country_name;country_id;Constitution (sexual orientation);Employment (sexual orientation);Goods & services (sexual orientation);Education (sexual orientation);Health (sexual orientation);Conversion practices ban (sexual orientation);Equality body mandate (sexual orientation);Equality action plan (sexual orientation);Constitution (gender identity);Employment (gender identity);Goods & services (gender identity);Education (gender identity);Health (gender identity);Conversion practices ban (gender identity);Equality body mandate (gender identity);Equality action plan (gender identity);Law (gender expression);Constitution (sex characteristics);Employment (sex characteristics);Goods & services (sex characteristics);Education (sex characteristics);Health (sex characteristics);Equality body mandate (sex characteristics);Equality action plan (sex characteristics);Blood donations;Marriage equality;Registered partnership (similar rights to marriage);Registered partnership (limited rights);Cohabitation;No constitutional limitation on marriage;Joint adoption;Second-parent adoption;Automatic co-parent recognition;Medically assisted insemination (couples);Medically assisted insemination (singles);Recognition of trans parenthood;Hate crime law (sexual orientation);Hate speech law (sexual orientation);Policy tackling hatred (sexual orientation);Hate crime law (gender identity);Hate speech law (gender identity);Policy tackling hatred (gender identity);Hate crime law (sex characteristics);Hate speech law (sex characteristics);Policies tackling hatred (sex characteristics);No legal framework making legal gender recognition impossible;Existence of legal measures;Existence of administrative procedures;Name change;No age restriction (Name change);Self-determination;Non-binary recognition;No 'Gender Identity Disorder' diagnosis/psychological opinion required;No compulsory medical intervention required;No compulsory surgical intervention required;No compulsory sterilisation required;No compulsory divorce required;No age restriction;Legal gender recognition procedures exist for minors;Depathologisation;Prohibition of medical intervention without informed consent (intersex);Universality of prohibition of medical interventions;Existence of effective monitoring mechanism;Access to justice for victims and reparations;Public event held, no state obstruction of freedom of assembly (last 3 years);Public event held, there is enough protection (last 3 years);Associations operate, no state obstruction of freedom association (last 3 years);LGBTI human rights defenders are not at risk;No laws limiting external funding;No laws limiting freedom of expression (national/local);Asylum law (sexual orientation);Other positive measures (sexual orientation);Asylum law (gender identity);Other positive measures (gender identity);Asylum law (sex characteristics);Other positive measures (sex characteristics);Rank
Albania;AL;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;40.58
Andorra;AD;1;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;43.00
Armenia;AM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;9.16
Austria;AT;1;1;0.8888888889;0.8888888889;0.8888888889;0;1;0;1;1;1;0;0;0;1;0;1;0;1;1;0;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;0;54.98
Azerbaijan;AZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2.25
Belarus;BY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.01
Belgium;BE;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;85.31
Bosnia & Herzegovina;BA;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;0;1;1;1;1;1;0;0.6666666667;0;0;0;0;1;0;0;0;0;0;0;1;0.6666666667;0;0.6666666667;0.3333333333;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6666666667;0.6666666667;1;1;1;1;0;0;0;0;0;0;36.99
Bulgaria;BG;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;19.76
Croatia;HR;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;51.04
