Country;Rainbow Map;Qwen3.5 2B;Qwen3.5 9B;Qwen3.5 27B;LlaMa 3.2 3B;LlaMa 3.1 8B;LlaMa 3.1 70B;DeepSeek-V3.2;Sonnet 4.6;GPT 5.4;Gemini 3 Flash
Albania;35;68;70;79;63;66;72;78;75;84;59
Andorra;43;66;78;84;60;71;73;79;82;84;59
Armenia;9;67;73;79;60;59;71;77;62;87;55
Austria;54;65;75;82;50;50;50;82;86;89;53
Azerbaijan;2;66;66;77;50;50;50;77;67;91;52
Belarus;10;63;66;69;64;63;73;65;68;89;52
Belgium;85;65;75;81;50;52;53;81;86;84;56
Bosnia & Herzegovina;40;65;77;83;62;68;75;80;78;86;54
Bulgaria;21;68;75;78;62;66;72;79;73;86;53
Croatia;49;68;78;80;60;72;74;81;77;86;53
Cyprus;34;66;81;88;61;69;75;86;82;89;56
Czechia;33;68;77;82;64;69;74;81;80;84;52
Denmark;80;63;75;85;63;66;76;78;85;84;52
Estonia;46;64;79;79;62;69;76;84;86;85;53
Finland;70;64;77;84;60;66;74;79;84;86;52
France;61;67;79;80;60;67;75;81;83;81;55
Georgia;12;64;66;80;56;62;71;75;77;83;52
Germany;69;66;77;81;50;50;50;81;87;88;54
Greece;69;67;85;89;60;70;75;87;86;90;59
Hungary;23;65;73;74;50;50;50;72;65;83;53
Iceland;84;62;76;84;50;50;50;83;83;88;54
Ireland;63;63;80;87;60;59;57;85;89;91;56
Italy;24;73;84;86;62;77;77;85;80;86;56
Kosovo;35;66;76;84;63;67;74;80;79;86;56
Latvia;26;71;78;82;50;50;50;82;76;86;54
Liechtenstein;29;65;76;82;50;50;50;82;85;88;53
Lithuania;24;75;76;81;62;71;61;83;82;85;54
Luxembourg;68;66;79;83;50;52;53;83;86;88;54
Malta;89;64;78;86;70;70;59;78;84;83;60
Moldova;38;69;79;85;67;73;61;77;78;90;54
Monaco;14;68;81;78;60;66;60;74;79;80;54
Montenegro;49;59;61;64;58;60;50;61;59;63;52
Netherlands;64;63;70;78;50;50;50;78;85;85;55
North Macedonia;29;66;73;80;62;69;59;77;77;86;57
Norway;69;67;78;81;63;70;59;78;83;85;53
Poland;20;71;77;77;63;75;62;76;80;86;52
Portugal;67;68;78;87;65;80;62;86;86;90;60
Romania;19;70;82;85;67;75;61;80;81;89;53
Russia;2;67;64;62;68;67;62;64;69;89;52
San Marino;15;71;83;85;60;75;63;85;79;87;57
Serbia;35;70;77;83;63;67;61;79;79;86;53
Slovakia;27;67;65;78;62;60;58;69;76;82;53
Slovenia;50;72;84;82;64;66;59;86;82;88;57
Spain;78;76;80;82;63;72;61;79;81;82;57
Sweden;66;64;76;84;61;73;60;82;86;89;55
Switzerland;50;68;79;83;61;69;58;83;85;86;55
Turkey;5;59;75;83;60;63;62;76;78;89;51
Ukraine;19;65;74;79;60;71;60;82;80;87;54
United Kingdom;46;71;85;91;70;70;65;86;89;91;52
