Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Equality & non-discrimination;Constitution (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Employment (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Goods & services (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Education (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Health (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Conversion practices ban (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Equality body mandate (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Equality action plan (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Constitution (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Employment (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Goods & services (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Education (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Health (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Conversion practices ban (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Equality body mandate (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Equality action plan (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Law (gender expression);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Constitution (sex characteristics);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
<<<<<<<< HEAD:results/rainbow_meter/language_scenario/meta-llama/Llama-3.2-3B/rm_answers_de.csv
========
Equality & non-discrimination;Employment (sex characteristics);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Goods & services (sex characteristics);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Education (sex characteristics);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Health (sex characteristics);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Equality body mandate (sex characteristics);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Equality action plan (sex characteristics);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Blood donations;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;Marriage equality;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;Registered partnership (similar rights to marriage);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;Registered partnership (limited rights);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;Cohabitation;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;No constitutional limitation on marriage;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;Joint adoption;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;Second-parent adoption;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;Automatic co-parent recognition;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;Medically assisted insemination (couples);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;Medically assisted insemination (singles);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Family;Recognition of trans parenthood;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Hate crime & hate speech;Hate crime law (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Hate crime & hate speech;Hate speech law (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Hate crime & hate speech;Policy tackling hatred (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Hate crime & hate speech;Hate crime law (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Hate crime & hate speech;Hate speech law (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Hate crime & hate speech;Policy tackling hatred (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Hate crime & hate speech;Hate crime law (intersex);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
>>>>>>>> ed09524f56a119d81a61c8ca03fac781d1a5947f:results/rainbow_meter/language_scenario/Qwen/Qwen3.5-9B/rm_answers_bg.csv
