Country;Predicted;Rainbow Map
Albania;45.79;35.449999999999996
Andorra;56.892;42.99999999999999
Armenia;40.25;9.16
Austria;59.721999999999994;53.98369999999999
Azerbaijan;33.730000000000004;2.25
Belarus;31.156000000000002;10.16
Belarus;31.156000000000002;10.16
Belgium;64.53800000000001;85.31000000000002
Belgium;64.53800000000001;85.31000000000002
Belgium;64.53800000000001;85.31000000000002
Bosnia & Herzegovina;47.760000000000005;39.633537000000004
Bosnia & Herzegovina;47.760000000000005;39.633537000000004
Bosnia & Herzegovina;47.760000000000005;39.633537000000004
Bulgaria;49.918000000000006;21.259999999999998
