Country;Predicted;Rainbow Map
Albania;45.79;35.449999999999996
Andorra;56.892;42.99999999999999
Armenia;40.25;9.16
Austria;59.721999999999994;53.98369999999999
Azerbaijan;33.730000000000004;2.25
Belarus;31.156000000000002;10.16
Belarus;31.156000000000002;10.16
Belgium;64.53800000000001;85.31000000000002
Belgium;64.53800000000001;85.31000000000002
Belgium;64.53800000000001;85.31000000000002
Bosnia & Herzegovina;47.760000000000005;39.633537000000004
Bosnia & Herzegovina;47.760000000000005;39.633537000000004
Bosnia & Herzegovina;47.760000000000005;39.633537000000004
Bulgaria;49.918000000000006;21.259999999999998
Croatia;59.05;49.13999999999999
Cyprus;42.338;33.69
Cyprus;42.338;33.69
Cyprus;42.338;33.69
Czechia;57.329999999999984;33.17
Denmark;69.28999999999998;80.10000000000002
Estonia;72.512;45.91
Finland;69.64;69.85000000000001
Finland;69.64;69.85000000000001
France;38.72700000000001;61.38
Georgia;46.767999999999994;11.88
Germany;59.73000000000001;69.09562499999998
Greece;50.246;69.18
Greece;50.246;69.18
Hungary;49.937999999999995;22.7
Iceland;66.35399999999998;84.06000000000002
Ireland;58.31799999999998;62.839999999999996
Ireland;58.31799999999998;62.839999999999996
Italy;48.237999999999985;24.41
Netherlands;65.21400000000001;63.82000000000001
Kosovo;49.39200000000001;34.81999999999999
Kosovo;49.39200000000001;34.81999999999999
Latvia;60.152;25.740000000000002
Liechtenstein;52.897999999999996;28.96
Lithuania;59.258;24.090000000000003
Luxembourg;66.8;68.41
Luxembourg;66.8;68.41
Luxembourg;66.8;68.41
Malta;54.117999999999995;88.83000000000003
Malta;54.117999999999995;88.83000000000003
Moldova;36.678000000000004;38.41
Monaco;56.422;13.7
Montenegro;46.052;49.279999999999994
North Macedonia;47.855999999999995;29.259999999999998
North Macedonia;47.855999999999995;29.259999999999998
Norway;65.994;68.6
Poland;53.476000000000006;20.5
Portugal;70.11;66.99
Romania;42.932;18.630000000000003
Russia;46.126;2.0
San Marino;53.57600000000001;14.97
Serbia;42.674;35.25999999999999
Slovakia;58.419999999999995;27.169999999999998
Slovenia;65.168;50.28999999999999
Spain;59.21800000000002;77.969411764702
Sweden;69.35;66.07000000000001
Switzerland;63.13199999999999;50.11999999999999
Switzerland;63.13199999999999;50.11999999999999
