Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Equality & non-discrimination;Constitution (sexual orientation);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Employment (sexual orientation);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Goods & services (sexual orientation);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Education (sexual orientation);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Health (sexual orientation);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Conversion practices ban (sexual orientation);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (sexual orientation);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality action plan (sexual orientation);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Constitution (gender identity);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Employment (gender identity);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Goods & services (gender identity);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Education (gender identity);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Health (gender identity);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Conversion practices ban (gender identity);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (gender identity);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality action plan (gender identity);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Law (gender expression);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Constitution (sex characteristics);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Employment (sex characteristics);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Goods & services (sex characteristics);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Education (sex characteristics);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Health (sex characteristics);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (sex characteristics);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality action plan (sex characteristics);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Blood donations;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Marriage equality;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;Registered partnership (similar rights to marriage);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Registered partnership (limited rights);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Cohabitation;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;No constitutional limitation on marriage;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Joint adoption;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Second-parent adoption;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Automatic co-parent recognition;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Medically assisted insemination (couples);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Medically assisted insemination (singles);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;Recognition of trans parenthood;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Hate crime & hate speech;Hate crime law (sexual orientation);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Hate crime & hate speech;Hate speech law (sexual orientation);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Hate crime & hate speech;Policy tackling hatred (sexual orientation);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
