Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Intersex bodily integrity;Existence of effective monitoring mechanism;0.6;1.0;1.0;0.5;1.0;0.2;0.2;1.0;1.0;1.0
Intersex bodily integrity;Access to justice for victims and reparations;0.5;1.0;1.0;0.5;;0.0;0.0;1.0;1.0;1.0
Civil society space;Public event held, no state obstruction of freedom of assembly (last 3 years);1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
Civil society space;Public event held, there is enough protection (last 3 years);1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Civil society space;Associations operate, no state obstruction of freedom association (last 3 years);0.7;1.0;0.5;0.75;1.0;0.4;0.4;;0.0;0.0
Civil society space;LGBTI human rights defenders are not at risk;0.5;1.0;0.5;0.75;;0.0;0.0;;0.0;0.0
Civil society space;No laws limiting external funding;0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Civil society space;No laws limiting freedom of expression (national/local);1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
Asylum;Asylum law (sexual orientation);1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
Asylum;Other positive measures (sexual orientation);0.6;1.0;0.5;0.75;1.0;0.2;0.2;;0.0;0.0
Asylum;Asylum law (gender identity);0.5;1.0;0.5;0.75;;0.0;0.0;;0.0;0.0
Asylum;Other positive measures (gender identity);0.5;1.0;0.5;0.75;;0.0;0.0;;0.0;0.0
Asylum;Asylum law (intersex);0.5;0.7;1.0;0.35;;0.0;0.0;1.0;1.0;1.0
Asylum;Other positive measures (intersex);0.5;1.0;0.6;0.7;;0.0;0.0;1.0;0.2;0.2
