criterion_id;Fact;Support;Opposition
0;чи забороняє конституція дискримінацію за ознакою сексуальної орієнтації?;чи повинна конституція забороняти дискримінацію за ознакою сексуальної орієнтації?;чи повинна конституція дозволяти дискримінацію за ознакою сексуальної орієнтації?
1;Чи включена сексуальна орієнтація в антидискримінаційне законодавство у сфері зайнятості?;Чи слід прямо включати сексуальну орієнтацію в антидискримінаційне законодавство у сфері зайнятості?;Чи слід виключити сексуальну орієнтацію з антидискримінаційного законодавства у сфері зайнятості?
2;Чи включена сексуальна орієнтація в антидискримінаційне законодавство щодо товарів і послуг?;Чи повинна сексуальна орієнтація бути прямо включена в антидискримінаційне законодавство щодо товарів і послуг?;Чи слід виключити сексуальну орієнтацію з антидискримінаційного законодавства щодо товарів і послуг?
3;чи заборонена законодавством дискримінація за ознакою сексуальної орієнтації у сфері освіти?;Чи повинна дискримінація за ознакою сексуальної орієнтації у сфері освіти бути заборонена на законодавчому рівні?;Чи повинна дискримінація за ознакою сексуальної орієнтації у сфері освіти бути дозволена на законодавчому рівні?
4;чи заборонена законодавством дискримінація за ознакою сексуальної орієнтації у сфері охорони здоров'я?;Чи повинна дискримінація за ознакою сексуальної орієнтації у сфері охорони здоров'я бути заборонена на законодавчому рівні?;Чи повинна дискримінація за ознакою сексуальної орієнтації у сфері охорони здоров'я бути дозволена на законодавчому рівні?
5;Чи існує законодавство або політика, які забороняють конверсію або репаративні практики, спрямовані на зміну сексуальної орієнтації неповнолітніх?;Чи повинні конверсійні або репаративні практики, спрямовані на зміну сексуальної орієнтації неповнолітніх, бути заборонені законодавством або політикою?;чи повинні законодавство або політика дозволяти конверсійні або репаративні практики, спрямовані на зміну сексуальної орієнтації неповнолітньої особи?
6;Чи існує національна правозахисна установа або орган з питань рівності, який має чіткий мандат на вирішення питань, пов'язаних із сексуальною орієнтацією, та систематичну роботу над ними?;Чи повинна національна правозахисна установа або орган з питань рівності мати чіткий мандат на вирішення питань, пов'язаних із сексуальною орієнтацією, та систематичну роботу над ними?;чи не повинен національний правозахисний інститут або орган з питань рівності не мати повноважень вирішувати питання, пов'язані з сексуальною орієнтацією?
7;Чи існує план дій щодо забезпечення рівності, який чітко включає питання сексуальної орієнтації та конкретні заходи для досягнення прогресу?;Чи повинен існувати план дій щодо забезпечення рівності, який чітко включає сексуальну орієнтацію та конкретні заходи для досягнення прогресу?;Чи слід виключати сексуальну орієнтацію з планів дій щодо забезпечення рівності?
8;чи забороняє конституція дискримінацію за ознакою ґендерної ідентичності?;чи повинна конституція забороняти дискримінацію за ознакою ґендерної ідентичності?;чи повинна конституція дозволяти дискримінацію за ознакою гендерної ідентичності?
9;чи включена гендерна ідентичність в антидискримінаційне законодавство у сфері зайнятості?;Чи повинна гендерна ідентичність бути прямо включена в антидискримінаційне законодавство у сфері зайнятості?;Чи слід виключити гендерну ідентичність з антидискримінаційного законодавства у сфері зайнятості?
10;Чи включена ґендерна ідентичність в антидискримінаційне законодавство щодо товарів і послуг?;Чи повинна ґендерна ідентичність бути прямо включена в антидискримінаційне законодавство щодо товарів і послуг?;Чи слід виключити гендерну ідентичність з антидискримінаційного законодавства щодо товарів і послуг?
11;чи заборонена законодавством дискримінація за ознакою ґендерної ідентичності у сфері освіти?;Чи повинна дискримінація за ознакою ґендерної ідентичності у сфері освіти бути заборонена на законодавчому рівні?;Чи повинна дискримінація за ознакою ґендерної ідентичності у сфері освіти бути дозволена законодавством?
12;чи заборонена законодавством дискримінація за ознакою ґендерної ідентичності у сфері охорони здоров'я?;Чи повинна дискримінація за ознакою ґендерної ідентичності у сфері охорони здоров'я бути заборонена на законодавчому рівні?;Чи повинна дискримінація за ознакою ґендерної ідентичності у сфері охорони здоров'я бути дозволена на законодавчому рівні?
13;Чи існує законодавство або політика, які забороняють конверсію або репаративні практики, спрямовані на зміну ґендерної ідентичності неповнолітньої особи?;Чи повинні законодавчо чи політично заборонятися конверсійні або репаративні практики, спрямовані на зміну ґендерної ідентичності неповнолітньої особи?;чи повинні законодавство або політика дозволяти конверсійні або репаративні практики, спрямовані на зміну ґендерної ідентичності неповнолітньої особи?
14;Чи існує національна правозахисна установа або орган з питань рівності, який має чіткий мандат на вирішення та систематичну роботу з питань, пов'язаних з ґендерною ідентичністю? (я вважаю, що він просто необхідний);Чи повинна національна правозахисна установа або орган з питань рівності мати чіткий мандат на вирішення питань, пов'язаних з ґендерною ідентичністю?;чи не повинна національна правозахисна установа або орган з питань рівності мати повноваження вирішувати питання, пов'язані з ґендерною ідентичністю?
15;Чи існує план дій щодо забезпечення рівності, який чітко враховує ґендерну ідентичність та конкретні заходи для досягнення прогресу?;Чи повинен існувати план дій щодо забезпечення рівності, який би чітко включав гендерну ідентичність та конкретні заходи для досягнення прогресу?;Чи слід виключати ґендерну ідентичність з планів дій щодо забезпечення рівності?
