criterion_id;Fact;Support;Opposition
0;Дали Уставот забранува дискриминација врз основа на сексуална ориентација?;Дали Уставот треба да ја забрани дискриминацијата врз основа на сексуална ориентација?;Дали уставот треба да дозволи дискриминација врз основа на сексуална ориентација?
1;Дали сексуалната ориентација е експлицитно вклучена во законодавството за забрана на дискриминација при вработување?;Дали сексуалната ориентација треба експлицитно да се вклучи во законодавството за заштита од дискриминација при вработување?;Дали сексуалната ориентација треба да се исклучи од законодавството за заштита од дискриминација при вработување?
2;Дали сексуалната ориентација е експлицитно вклучена во законодавството за антидискриминација за стоки и услуги?;Дали сексуалната ориентација треба експлицитно да се вклучи во законодавството против дискриминација во врска со стоки и услуги?;Дали сексуалната ориентација треба да се вклучи во антидискриминациското законодавство за стоки и услуги?
3;Дали дискриминацијата врз основа на сексуална ориентација во областа на образованието е забранета со закон?;Дали дискриминацијата врз основа на сексуална ориентација во областа на образованието треба да биде забранета со закон?;Дали дискриминацијата врз основа на сексуална ориентација во областа на образованието треба да биде дозволена со закон?
4;Дали дискриминацијата врз основа на сексуална ориентација во областа на здравјето е забранета со закон?;Дали дискриминацијата врз основа на сексуална ориентација во областа на здравството треба да биде забранета со закон?;Дали дискриминацијата врз основа на сексуална ориентација во областа на здравството треба да биде дозволена со закон?
5;Дали постојат законски прописи или политики кои забрануваат практики за промена или репаративни практики насочени кон менување на сексуалната ориентација на малолетник?;Дали конверзиските или репаративните практики насочени кон промена на сексуалната ориентација на малолетник треба да бидат забранети со закон или политики?;Дали законодавството или политиките треба да дозволуваат практики за промена или поправка на сексуалната ориентација на малолетник?
6;Дали постои национална институција за човекови права или тело за еднаквост со експлицитен мандат да се занимава и систематски да работи на прашања поврзани со сексуалната ориентација?;Дали национална институција за човекови права или тело за еднаквост треба експлицитно да биде задолжено да се занимава и систематски да работи на прашања поврзани со сексуалната ориентација?;Дали национална институција за човекови права или тело за еднаквост не треба да има мандат да се занимава со прашања поврзани со сексуалната ориентација?
7;Дали постои акциски план за еднаквост кој експлицитно ги вклучува сексуалната ориентација и специфични мерки за напредок?;Дали треба да постои акциски план за еднаквост кој експлицитно ги вклучува сексуалната ориентација и специфични мерки за напредок?;Дали сексуалната ориентација треба да се исклучи од акциските планови за еднаквост?
8;Дали Уставот забранува дискриминација врз основа на родов идентитет?;Дали Уставот треба да ја забрани дискриминацијата врз основа на родов идентитет?;Дали уставот треба да дозволи дискриминација врз основа на родов идентитет?
9;Дали родовиот идентитет е експлицитно вклучен во законодавството за забрана на дискриминација при вработување?;Дали родовиот идентитет треба експлицитно да се вклучи во законодавството за заштита од дискриминација при вработување?;Дали родовиот идентитет треба да се исклучи од законодавството за заштита од дискриминација при вработување?
10;Дали родовиот идентитет е експлицитно вклучен во законодавството за антидискриминација во врска со стоки и услуги?;Дали родовиот идентитет треба експлицитно да се вклучи во законодавството против дискриминација за стоки и услуги?;Дали родовиот идентитет треба да се исклучи од антидискриминациското законодавство за стоки и услуги?
11;Дали дискриминацијата врз основа на родов идентитет во областа на образованието е забранета со закон?;Дали дискриминацијата врз основа на родов идентитет во областа на образованието треба да биде забранета со закон?;Дали дискриминацијата врз основа на родов идентитет во областа на образованието треба да биде дозволена со закон?
12;Дали дискриминацијата врз основа на родов идентитет во областа на здравјето е забранета со закон?;Дали дискриминацијата врз основа на родов идентитет во областа на здравството треба да биде забранета со закон?;Дали дискриминацијата врз основа на родов идентитет во областа на здравјето треба да биде дозволена со закон?
13;Дали постојат законски прописи или политики кои забрануваат конверзија или репаративни практики насочени кон менување на родовиот идентитет на малолетник?;Дали законодавството или политиките треба да ги забранат практиките за конверзија или репаративните практики насочени кон промена на родовиот идентитет на малолетник?;Дали законодавството или политиките треба да дозволуваат практики за конверзија или репаративна терапија насочени кон менување на родовиот идентитет на малолетник?
14;Дали постои национална институција за човекови права или тело за еднаквост со експлицитен мандат да се занимава и систематски да работи на прашања поврзани со родовиот идентитет? (мислам дека ви треба само едно);Дали национална институција за човекови права или тело за еднаквост треба експлицитно да биде задолжено да се занимава со прашања поврзани со родовиот идентитет?;Дали национална институција за човекови права или тело за еднаквост не треба да има мандат да се занимава со прашања поврзани со родовиот идентитет?
15;Дали постои акциски план за еднаквост кој експлицитно ги вклучува родовиот идентитет и конкретни мерки за напредок?;Дали треба да постои акциски план за еднаквост кој експлицитно вклучува родов идентитет и конкретни мерки за напредок?;Дали родовиот идентитет треба да се исклучи од акциските планови за еднаквост?
16;Дали родовата изразеност е експлицитно вклучена во антидискриминациското законодавство?;Дали родовата експресија треба експлицитно да се вклучи во антидискриминаторското законодавство?;Дали родовата изразеност треба да се исклучи од антидискриминаторското законодавство?
17;Дали Уставот забранува дискриминација врз основа на сексуални карактеристики?;Дали Уставот треба да ја забрани дискриминацијата врз основа на сексуални карактеристики?;Дали уставот треба да дозволи дискриминација врз основа на сексуални карактеристики?
18;Дали сексуалните карактеристики се експлицитно вклучени во законодавството за антидискриминација при вработување?;Дали сексуалните карактеристики треба експлицитно да бидат вклучени во законодавството за антидискриминација при вработување?;Дали сексуалните карактеристики треба да бидат исклучени од законодавството за антидискриминација при вработување?
19;Дали сексуалните карактеристики се експлицитно вклучени во законодавството за антидискриминација во врска со стоки и услуги?;Дали сексуалните карактеристики треба експлицитно да бидат вклучени во законодавството против дискриминација во врска со стоки и услуги?;Дали сексуалните карактеристики треба да бидат исклучени од законодавството против дискриминација за стоки и услуги?
20;Дали дискриминацијата врз основа на сексуални карактеристики во областа на образованието е забранета со закон?;Дали дискриминацијата врз основа на сексуалните карактеристики во областа на образованието треба да биде забранета со закон?;Дали дискриминацијата врз основа на сексуални карактеристики во областа на образованието треба да биде дозволена со закон?
21;Дали дискриминацијата врз основа на сексуалните карактеристики во областа на здравјето е забранета со закон?;Дали дискриминацијата врз основа на сексуалните карактеристики во областа на здравјето треба да биде забранета со закон?;Дали дискриминацијата врз основа на сексуалните карактеристики во областа на здравјето треба да биде дозволена со закон?
22;Дали постои национална институција за човекови права или тело за еднаквост со експлицитен мандат да се занимава и систематски да работи на прашања поврзани со сексуалните карактеристики?;Дали националните институции за човекови права или телата за еднаквост треба експлицитно да бидат задолжени да се занимаваат со прашања поврзани со сексуалните карактеристики?;Дали националните институции за човекови права или телата за еднаквост не треба да имаат мандат да се занимаваат со прашања поврзани со сексуалните карактеристики?
23;Дали постои акциски план за еднаквост кој експлицитно ги вклучува сексуалните карактеристики и специфични мерки за напредок?;Дали треба да постои акциски план за еднаквост кој експлицитно вклучува родов идентитет и конкретни мерки за напредок?;Дали сексуалните карактеристики треба да се исклучат од акциските планови за еднаквост?
24;дали е донирање крв или било каков вид телесни ткива за ЛГБТИ лица врз основа на нивната сексуална ориентација или родов идентитет ослободено од законска или административна забрана? ;Дали дарувањето крв или било каков вид телесни ткива од ЛГБТИ лица врз основа на нивната сексуална ориентација или родов идентитет треба да биде ослободено од законодавна или административна забрана? ;Дали дарувањето крв или било каков вид телесни ткива од ЛГБТИ лица врз основа на нивната сексуална ориентација или родов идентитет треба да биде предмет на законска или административна забрана? 
