criterion_id;Fact;Support;Opposition
0;Kielletäänkö perustuslaissa seksuaaliseen suuntautumiseen perustuva syrjintä?;pitäisikö perustuslaissa kieltää seksuaaliseen suuntautumiseen perustuva syrjintä?;pitäisikö perustuslain sallia seksuaaliseen suuntautumiseen perustuva syrjintä?
1;sisällytetäänkö seksuaalinen suuntautuminen nimenomaisesti työsyrjinnän vastaiseen lainsäädäntöön?;Pitäisikö seksuaalinen suuntautuminen sisällyttää nimenomaisesti työsyrjinnän vastaiseen lainsäädäntöön?;pitäisikö seksuaalinen suuntautuminen jättää syrjinnän vastaisen työlainsäädännön ulkopuolelle?
2;sisältyykö seksuaalinen suuntautuminen nimenomaisesti tavaroiden ja palvelujen syrjinnän vastaiseen lainsäädäntöön?;Pitäisikö seksuaalinen suuntautuminen sisällyttää nimenomaisesti tavaroiden ja palvelujen syrjinnän vastaiseen lainsäädäntöön?;Pitäisikö seksuaalinen suuntautuminen jättää tavaroiden ja palvelujen syrjinnän vastaisen lainsäädännön ulkopuolelle?
3;onko seksuaaliseen suuntautumiseen perustuva syrjintä koulutuksen alalla kielletty lainsäädännössä?;pitäisikö seksuaaliseen suuntautumiseen perustuva syrjintä koulutuksen alalla kieltää lainsäädännöllä?;pitäisikö seksuaaliseen suuntautumiseen perustuva syrjintä koulutuksen alalla sallia lainsäädännöllä?
4;Onko seksuaaliseen suuntautumiseen perustuva syrjintä terveyden alalla kielletty lainsäädännössä?;Pitäisikö seksuaaliseen suuntautumiseen perustuva syrjintä terveydenhuollon alalla kieltää lainsäädännöllä?;Pitäisikö seksuaaliseen suuntautumiseen perustuva syrjintä terveydenhuollon alalla sallia lainsäädännössä?
5;"Onko olemassa lainsäädäntöä tai toimintaperiaatteita; jotka kieltävät käännyttämis- tai korjaavat käytännöt; joilla pyritään muuttamaan alaikäisen seksuaalista suuntautumista?";pitäisikö alaikäisen seksuaalisen suuntautumisen muuttamiseen tähtäävät käännytys- tai korjaavat käytännöt kieltää lainsäädännöllä tai politiikalla?;Pitäisikö alaikäisen seksuaalisen suuntautumisen muuttamiseen tähtäävät käännytys- tai korjaavat käytännöt sallia lainsäädännössä tai politiikassa?
6;"Onko olemassa kansallista ihmisoikeusinstituutiota tai tasa-arvoelintä; jonka nimenomaisena tehtävänä on käsitellä ja systemaattisesti käsitellä sukupuoliseen suuntautumiseen liittyviä kysymyksiä?";Pitäisikö kansalliselle ihmisoikeusinstituutiolle tai tasa-arvoelimelle antaa nimenomainen toimeksianto käsitellä ja käsitellä järjestelmällisesti seksuaaliseen suuntautumiseen liittyviä kysymyksiä?;eikö kansalliselle ihmisoikeusinstituutiolle tai tasa-arvoelimelle pitäisi antaa tehtäväksi käsitellä seksuaaliseen suuntautumiseen liittyviä kysymyksiä?
7;"Onko olemassa tasa-arvoa koskeva toimintasuunnitelma; joka sisältää nimenomaisesti seksuaalisen suuntautumisen ja erityiset toimenpiteet edistymisen varmistamiseksi?";"Pitäisikö olla tasa-arvoa koskeva toimintasuunnitelma; joka sisältää nimenomaisesti seksuaalisen suuntautumisen ja erityiset edistymistoimenpiteet?";Pitäisikö seksuaalinen suuntautuminen jättää tasa-arvoa koskevien toimintasuunnitelmien ulkopuolelle?
8;Kielletäänkö perustuslaissa sukupuoli-identiteettiin perustuva syrjintä?;pitäisikö perustuslaissa kieltää sukupuoli-identiteettiin perustuva syrjintä?;pitäisikö perustuslain sallia sukupuoli-identiteettiin perustuva syrjintä?
9;sisällytetäänkö sukupuoli-identiteetti nimenomaisesti työsyrjinnän vastaiseen lainsäädäntöön?;Pitäisikö sukupuoli-identiteetti sisällyttää nimenomaisesti työsyrjinnän vastaiseen lainsäädäntöön?;Pitäisikö sukupuoli-identiteetti jättää syrjinnän vastaisen työlainsäädännön ulkopuolelle?
10;sisällytetäänkö sukupuoli-identiteetti nimenomaisesti tavaroiden ja palvelujen syrjinnän vastaiseen lainsäädäntöön?;Pitäisikö sukupuoli-identiteetti sisällyttää nimenomaisesti tavaroiden ja palvelujen syrjinnän vastaiseen lainsäädäntöön?;pitäisikö sukupuoli-identiteetti jättää tavaroiden ja palvelujen syrjinnän vastaisen lainsäädännön ulkopuolelle?
11;onko sukupuoli-identiteettiin perustuva syrjintä koulutuksen alalla kielletty lainsäädännössä?;pitäisikö sukupuoli-identiteettiin perustuva syrjintä koulutuksen alalla kieltää lainsäädännöllä?;pitäisikö sukupuoli-identiteettiin perustuva syrjintä koulutuksen alalla sallia lainsäädännöllä?
