Model;Country;languages;Fact;Stance;Rainbow Map;Fact Statistics;Stance Statistics;Fact Pvalue;Stance Pvalue;Fact MAE;Stance MAE
Qwen3.5 2B;Albania;Albanian;24.46;64.41;35.45;143.0;485.5;0.17;0.0;0.55;0.74
Qwen3.5 2B;Andorra;Catalan;46.93;62.55;43.0;354.0;683.5;0.62;0.01;0.68;0.75
Qwen3.5 2B;Armenia;Armenian;22.74;64.95;9.16;50.5;144.5;0.04;0.0;0.38;0.88
Qwen3.5 2B;Austria;German;18.08;61.98;53.98;130.5;930.0;0.0;0.35;0.7;0.66
Qwen3.5 2B;Azerbaijan;Azerbaijani;42.93;59.84;2.25;0.0;6.0;0.0;0.0;0.56;0.8
Qwen3.5 2B;Belarus;Belarusian;90.23;51.42;10.16;0.0;289.0;0.0;0.0;1.1;0.72
Qwen3.5 2B;Belarus;Russian;71.73;67.45;10.16;96.5;115.5;0.0;0.0;0.97;0.88
Qwen3.5 2B;Belgium;Dutch;21.46;55.97;85.31;29.0;440.5;0.0;0.0;0.92;0.66
Qwen3.5 2B;Belgium;German;18.08;61.98;85.31;19.5;356.0;0.0;0.0;0.97;0.55
Qwen3.5 2B;Belgium;French;23.14;67.5;85.31;61.5;394.0;0.0;0.0;0.97;0.52
Qwen3.5 2B;Bosnia & Herzegovina;Bosnian;70.36;60.48;39.63;195.5;504.0;0.0;0.0;0.77;0.63
Qwen3.5 2B;Bosnia & Herzegovina;Serbian;66.29;62.28;39.63;218.0;415.0;0.01;0.0;0.72;0.6
Qwen3.5 2B;Bosnia & Herzegovina;Croatian;72.93;59.27;39.63;149.0;484.5;0.0;0.01;0.73;0.63
Qwen3.5 2B;Bulgaria;Bulgarian;56.4;62.51;21.26;113.5;220.5;0.0;0.0;0.69;0.71
Qwen3.5 2B;Croatia;Croatian;72.93;59.27;49.14;147.0;619.0;0.01;0.14;0.62;0.63
Qwen3.5 2B;Cyprus;Modern Greek;75.43;63.3;33.69;277.5;412.0;0.0;0.0;0.95;0.7
Qwen3.5 2B;Cyprus;Greek;75.43;63.3;33.69;277.5;412.0;0.0;0.0;0.95;0.7
Qwen3.5 2B;Cyprus;Turkish;0.0;54.5;33.69;0.0;825.0;0.0;0.0;0.46;0.74
Qwen3.5 2B;Czechia;Czech;74.18;64.66;33.17;134.0;375.5;0.0;0.0;0.82;0.73
Qwen3.5 2B;Denmark;Danish;36.06;56.87;80.1;83.0;523.5;0.0;0.0;0.76;0.63
Qwen3.5 2B;Estonia;Estonian;73.31;56.71;45.91;72.5;594.0;0.0;0.1;0.55;0.62
Qwen3.5 2B;Finland;Swedish;18.59;58.05;69.85;100.0;738.5;0.0;0.03;0.84;0.63
Qwen3.5 2B;Finland;Finnish;22.0;59.26;69.85;110.5;811.0;0.0;0.09;0.82;0.63
Qwen3.5 2B;France;French;23.14;67.5;61.38;32.5;832.0;0.0;0.69;0.59;0.63
Qwen3.5 2B;Georgia;Georgian;64.62;55.42;11.88;83.5;185.5;0.0;0.0;0.86;0.71
Qwen3.5 2B;Germany;German;18.08;61.98;69.1;156.0;862.5;0.0;0.17;0.89;0.58
Qwen3.5 2B;Greece;Modern Greek;75.43;63.3;69.18;254.0;622.0;0.46;0.41;0.63;0.56
Qwen3.5 2B;Greece;Greek;75.43;63.3;69.18;254.0;622.0;0.46;0.41;0.63;0.56
Qwen3.5 2B;Hungary;Hungarian;62.75;54.09;22.7;310.5;445.0;0.0;0.0;0.96;0.77
Qwen3.5 2B;Iceland;Icelandic;16.48;55.19;84.06;95.0;463.0;0.0;0.0;1.05;0.69
Qwen3.5 2B;Ireland;Irish;99.99;50.57;62.84;0.0;974.5;0.0;0.06;0.51;0.68
Qwen3.5 2B;Ireland;English;85.26;64.53;62.84;140.0;758.0;0.01;0.92;0.56;0.61
Qwen3.5 2B;Italy;Italian;76.16;71.68;24.41;272.5;200.5;0.0;0.0;1.03;0.83
Qwen3.5 2B;Netherlands;Dutch;21.46;55.97;63.82;139.0;922.0;0.0;0.24;0.78;0.69
Qwen3.5 2B;Kosovo;Serbian;66.29;62.28;34.82;223.0;423.0;0.0;0.0;0.83;0.69
Qwen3.5 2B;Kosovo;Albanian;24.46;64.41;34.82;168.0;475.0;0.18;0.0;0.56;0.74
Qwen3.5 2B;Latvia;Latvian;31.49;73.14;25.74;247.0;375.5;0.55;0.0;0.59;0.92
Qwen3.5 2B;Liechtenstein;German;18.08;61.98;28.96;60.0;462.0;0.09;0.0;0.38;0.71
Qwen3.5 2B;Lithuania;Lithuanian;38.41;73.59;24.09;199.0;377.0;0.14;0.0;0.7;0.93
Qwen3.5 2B;Luxembourg;Luxembourgish;72.38;57.72;68.41;106.0;672.0;0.5;0.07;0.35;0.64
Qwen3.5 2B;Luxembourg;German;18.08;61.98;68.41;75.0;804.0;0.0;0.16;0.82;0.61
Qwen3.5 2B;Luxembourg;French;23.14;67.5;68.41;23.0;683.0;0.0;0.47;0.66;0.57
Qwen3.5 2B;Malta;Maltese;49.28;56.91;88.83;135.0;361.5;0.0;0.0;0.75;0.68
Qwen3.5 2B;Malta;English;85.26;64.53;88.83;69.0;198.5;0.47;0.0;0.29;0.52
Qwen3.5 2B;Moldova;Romanian;57.11;62.59;38.41;490.0;458.5;0.15;0.0;0.96;0.66
Qwen3.5 2B;Monaco;French;23.14;67.5;13.7;46.5;238.0;0.15;0.0;0.35;0.89
Qwen3.5 2B;Montenegro;Montenegrin;99.99;50.0;49.28;0.0;1342.0;0.0;0.96;0.69;0.66
Qwen3.5 2B;North Macedonia;Macedonian;79.94;60.91;29.26;125.5;406.0;0.0;0.0;0.89;0.71
Qwen3.5 2B;North Macedonia;Albanian;24.46;64.41;29.26;168.5;356.0;0.43;0.0;0.51;0.74
Qwen3.5 2B;Norway;Bokmål;9.75;61.55;68.6;31.5;856.5;0.0;0.3;0.85;0.63
Qwen3.5 2B;Poland;Polish;52.29;68.04;20.5;196.0;221.5;0.0;0.0;0.78;0.83
Qwen3.5 2B;Portugal;Portuguese;70.88;61.97;66.99;258.5;666.5;0.69;0.66;0.56;0.6
Qwen3.5 2B;Romania;Romanian;57.11;62.59;18.63;248.5;196.0;0.0;0.0;0.9;0.75
Qwen3.5 2B;Russia;Russian;71.73;67.45;2.0;0.0;0.0;0.0;0.0;0.96;0.9
Qwen3.5 2B;San Marino;Italian;76.16;71.68;14.97;256.0;167.5;0.0;0.0;1.14;0.92
Qwen3.5 2B;Serbia;Serbian;66.29;62.28;35.26;161.5;415.5;0.0;0.0;0.74;0.67
Qwen3.5 2B;Slovakia;Slovak;58.11;65.98;27.17;244.0;299.0;0.01;0.0;0.86;0.79
Qwen3.5 2B;Slovenia;Slovene;59.15;70.47;50.29;250.0;374.5;0.29;0.0;0.62;0.66
Qwen3.5 2B;Spain;Spanish;68.18;76.45;77.97;160.5;399.5;0.14;0.26;0.48;0.46
Qwen3.5 2B;Sweden;Swedish;18.59;58.05;66.07;76.5;885.5;0.0;0.11;0.77;0.66
Qwen3.5 2B;Switzerland;Italian;76.16;71.68;50.12;173.5;400.5;0.01;0.01;0.73;0.69
Qwen3.5 2B;Switzerland;German;18.08;61.98;50.12;120.0;815.0;0.0;0.09;0.65;0.65
Qwen3.5 2B;Switzerland;French;23.14;67.5;50.12;93.0;639.0;0.0;0.02;0.54;0.68
Qwen3.5 2B;Turkey;Turkish;0.0;54.5;4.75;0.0;106.5;0.07;0.0;0.07;0.75
Qwen3.5 2B;Ukraine;Ukrainian;33.93;60.69;18.76;189.5;321.0;0.1;0.0;0.61;0.82
Qwen3.5 2B;United Kingdom;English;85.26;64.53;45.65;159.0;547.5;0.0;0.01;0.77;0.64
Qwen3.5 9B;Albania;Albanian;46.59;71.11;35.45;339.5;254.0;0.24;0.0;0.75;0.74
Qwen3.5 9B;Andorra;Catalan;63.93;69.56;43.0;166.5;332.0;0.01;0.0;0.59;0.72
Qwen3.5 9B;Armenia;Armenian;55.86;73.81;9.16;104.5;98.5;0.0;0.0;0.81;0.97
Qwen3.5 9B;Austria;German;58.46;71.11;53.98;265.0;436.5;0.58;0.02;0.49;0.65
Qwen3.5 9B;Azerbaijan;Azerbaijani;17.69;66.23;2.25;18.0;20.5;0.0;0.0;0.27;0.9
Qwen3.5 9B;Belarus;Belarusian;35.8;67.88;10.16;100.0;128.0;0.0;0.0;0.53;0.89
Qwen3.5 9B;Belarus;Russian;31.38;70.14;10.16;93.5;42.0;0.0;0.0;0.47;0.87
Qwen3.5 9B;Belgium;Dutch;34.13;61.02;85.31;18.0;356.5;0.0;0.0;0.77;0.59
Qwen3.5 9B;Belgium;German;58.46;71.11;85.31;79.5;297.5;0.0;0.01;0.61;0.52
Qwen3.5 9B;Belgium;French;34.77;81.09;85.31;73.5;318.0;0.0;0.31;0.84;0.4
Qwen3.5 9B;Bosnia & Herzegovina;Bosnian;42.87;72.75;39.63;246.5;241.0;0.74;0.0;0.53;0.64
Qwen3.5 9B;Bosnia & Herzegovina;Serbian;79.03;78.0;39.63;47.0;264.0;0.0;0.0;0.64;0.76
Qwen3.5 9B;Bosnia & Herzegovina;Croatian;57.0;76.44;39.63;169.0;252.0;0.05;0.0;0.55;0.71
Qwen3.5 9B;Bulgaria;Bulgarian;69.14;70.48;21.26;90.5;221.0;0.0;0.0;0.8;0.84
Qwen3.5 9B;Croatia;Croatian;57.0;76.44;49.14;327.0;365.5;0.38;0.0;0.64;0.7
Qwen3.5 9B;Cyprus;Modern Greek;63.32;84.18;33.69;257.5;187.5;0.0;0.0;0.8;0.89
Qwen3.5 9B;Cyprus;Greek;63.32;84.18;33.69;257.5;187.5;0.0;0.0;0.8;0.89
Qwen3.5 9B;Cyprus;Turkish;52.51;76.64;33.69;291.5;453.0;0.04;0.0;0.72;0.93
Qwen3.5 9B;Czechia;Czech;42.3;73.95;33.17;229.0;279.5;0.36;0.0;0.59;0.81
Qwen3.5 9B;Denmark;Danish;42.13;72.59;80.1;101.0;447.5;0.0;0.1;0.72;0.54
Qwen3.5 9B;Estonia;Estonian;29.63;79.27;45.91;86.5;220.0;0.01;0.0;0.42;0.7
Qwen3.5 9B;Finland;Swedish;39.07;71.94;69.85;204.5;740.0;0.0;0.98;0.79;0.61
Qwen3.5 9B;Finland;Finnish;65.43;78.37;69.85;309.0;469.5;0.71;0.44;0.62;0.57
Qwen3.5 9B;France;French;34.77;81.09;61.38;118.5;381.5;0.0;0.02;0.62;0.65
Qwen3.5 9B;Georgia;Georgian;27.47;67.61;11.88;76.0;96.5;0.02;0.0;0.42;0.84
Qwen3.5 9B;Germany;German;58.46;71.11;69.1;222.0;678.5;0.2;0.74;0.5;0.58
Qwen3.5 9B;Greece;Modern Greek;63.32;84.18;69.18;203.5;250.5;0.55;0.03;0.54;0.51
Qwen3.5 9B;Greece;Greek;63.32;84.18;69.18;203.5;250.5;0.55;0.03;0.54;0.51
Qwen3.5 9B;Hungary;Hungarian;67.41;70.34;22.7;30.5;141.0;0.0;0.0;0.65;0.77
Qwen3.5 9B;Iceland;Icelandic;58.97;65.79;84.06;111.5;331.0;0.01;0.01;0.59;0.58
Qwen3.5 9B;Ireland;Irish;59.86;72.31;62.84;324.5;560.0;0.68;0.33;0.58;0.56
Qwen3.5 9B;Ireland;English;39.52;87.16;62.84;133.0;177.0;0.0;0.0;0.63;0.53
Qwen3.5 9B;Italy;Italian;61.87;83.56;24.41;207.0;90.5;0.0;0.0;0.8;0.93
Qwen3.5 9B;Netherlands;Dutch;34.13;61.02;63.82;69.5;783.0;0.0;0.57;0.57;0.66
Qwen3.5 9B;Kosovo;Serbian;79.03;78.0;34.82;91.0;218.5;0.0;0.0;0.76;0.82
Qwen3.5 9B;Kosovo;Albanian;46.59;71.11;34.82;299.0;262.5;0.2;0.0;0.72;0.76
Qwen3.5 9B;Latvia;Latvian;33.75;81.06;25.74;171.0;184.5;0.46;0.0;0.52;0.92
Qwen3.5 9B;Liechtenstein;German;58.46;71.11;28.96;124.5;279.5;0.0;0.0;0.61;0.83
Qwen3.5 9B;Lithuania;Lithuanian;88.27;69.89;24.09;56.0;247.5;0.0;0.0;0.96;0.82
Qwen3.5 9B;Luxembourg;Luxembourgish;46.3;71.61;68.41;252.5;690.0;0.01;0.65;0.7;0.58
Qwen3.5 9B;Luxembourg;German;58.46;71.11;68.41;180.0;580.5;0.18;0.75;0.56;0.6
Qwen3.5 9B;Luxembourg;French;34.77;81.09;68.41;161.0;426.5;0.0;0.1;0.75;0.59
Qwen3.5 9B;Malta;Maltese;61.69;69.15;88.83;98.0;235.0;0.0;0.0;0.59;0.49
Qwen3.5 9B;Malta;English;39.52;87.16;88.83;69.0;189.0;0.0;0.75;0.81;0.28
Qwen3.5 9B;Moldova;Romanian;73.2;81.48;38.41;108.5;189.5;0.0;0.0;0.66;0.78
Qwen3.5 9B;Monaco;French;34.77;81.09;13.7;161.0;115.5;0.02;0.0;0.6;1.05
Qwen3.5 9B;Montenegro;Montenegrin;0.0;50.0;49.28;0.0;1342.0;0.0;0.96;0.68;0.66
