Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Legal gender recognition;No age restriction (Name change);1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
Legal gender recognition;Self-determination;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Legal gender recognition;Non-binary recognition;0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
Legal gender recognition;No 'Gender Identity Disorder' diagnosis/psychological opinion required;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
Legal gender recognition;No compulsory medical intervention required;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Legal gender recognition;No compulsory surgical intervention required;1.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Legal gender recognition;No compulsory sterilisation required;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Legal gender recognition;No compulsory divorce required;0.2;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
Legal gender recognition;No age restriction;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Legal gender recognition;Legal gender recognition procedures exist for minors;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Legal gender recognition;Depathologisation;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Intersex bodily integrity;Prohibition of medical intervention without informed consent (intersex);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Intersex bodily integrity;Universality of prohibition of medical interventions;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Intersex bodily integrity;Existence of effective monitoring mechanism;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Intersex bodily integrity;Access to justice for victims and reparations;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Civil society space;Public event held, no state obstruction of freedom of assembly (last 3 years);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Civil society space;Public event held, there is enough protection (last 3 years);1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Civil society space;Associations operate, no state obstruction of freedom association (last 3 years);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Civil society space;LGBTI human rights defenders are not at risk;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Civil society space;No laws limiting external funding;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Civil society space;No laws limiting freedom of expression (national/local);0.6;0.2;0.0;0.6;0.04;1.0;0.04;1.0;1.0;1.0
Asylum;Asylum law (sexual orientation);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Asylum;Other positive measures (sexual orientation);0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
Asylum;Asylum law (gender identity);0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
Asylum;Other positive measures (gender identity);0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Asylum;Asylum law (intersex);0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Asylum;Other positive measures (intersex);0.0;0.8;1.0;0.4;1.0;1.0;1.0;1.0;1.0;1.0
