Model;Country;languages;Fact;Stance;Rainbow Map;Fact Statistics;Stance Statistics;Fact Pvalue;Stance Pvalue;Fact MAE;Stance MAE
Qwen3.5 2B;Albania;Albanian;8.13;63.28;35.45;69.0;553.5;0.0;0.0;0.54;0.73
Qwen3.5 2B;Andorra;Catalan;54.4;59.75;43.0;263.5;845.0;0.18;0.04;0.62;0.75
Qwen3.5 2B;Armenia;Armenian;14.16;60.66;9.16;47.0;178.5;0.46;0.0;0.32;0.84
Qwen3.5 2B;Austria;German;14.82;59.28;53.98;70.0;983.0;0.0;0.43;0.64;0.62
Qwen3.5 2B;Azerbaijan;Azerbaijani;50.96;63.41;2.25;29.0;52.0;0.0;0.0;0.73;0.88
Qwen3.5 2B;Belarus;Belarusian;97.79;57.52;10.16;0.0;240.0;0.0;0.0;1.2;0.8
Qwen3.5 2B;Belarus;Russian;71.04;64.95;10.16;26.5;97.5;0.0;0.0;0.88;0.83
Qwen3.5 2B;Belgium;Dutch;26.23;59.11;85.31;54.5;367.0;0.0;0.0;0.93;0.6
Qwen3.5 2B;Belgium;German;15.53;59.92;85.31;0.0;298.5;0.0;0.0;0.96;0.55
Qwen3.5 2B;Belgium;French;32.0;60.79;85.31;56.0;358.0;0.0;0.0;0.84;0.56
Qwen3.5 2B;Bosnia & Herzegovina;Bosnian;69.29;60.47;39.63;180.0;594.0;0.0;0.01;0.73;0.66
Qwen3.5 2B;Bosnia & Herzegovina;Serbian;62.24;59.01;39.63;176.0;594.5;0.01;0.01;0.64;0.63
Qwen3.5 2B;Bosnia & Herzegovina;Croatian;68.69;64.42;39.63;153.0;539.0;0.0;0.0;0.69;0.68
Qwen3.5 2B;Bulgaria;Bulgarian;50.38;65.78;21.26;130.0;263.5;0.0;0.0;0.67;0.78
Qwen3.5 2B;Croatia;Croatian;55.38;68.56;49.14;261.0;448.5;0.53;0.01;0.61;0.62
Qwen3.5 2B;Cyprus;Modern Greek;67.08;67.49;33.69;392.5;533.0;0.0;0.0;0.97;0.81
Qwen3.5 2B;Cyprus;Greek;67.08;67.49;33.69;392.5;533.0;0.0;0.0;0.97;0.81
Qwen3.5 2B;Cyprus;Turkish;0.0;50.0;33.69;0.0;896.0;0.0;0.01;0.46;0.67
Qwen3.5 2B;Czechia;Czech;67.74;65.83;33.17;141.0;281.0;0.0;0.0;0.77;0.68
Qwen3.5 2B;Denmark;Danish;28.48;55.65;80.1;87.0;483.5;0.0;0.0;0.84;0.61
Qwen3.5 2B;Estonia;Estonian;61.75;58.74;45.91;145.0;576.0;0.02;0.07;0.52;0.66
Qwen3.5 2B;Finland;Swedish;19.63;58.59;69.85;69.0;753.0;0.0;0.04;0.78;0.6
Qwen3.5 2B;Finland;Finnish;27.23;56.09;69.85;188.0;679.0;0.0;0.02;0.85;0.62
Qwen3.5 2B;France;French;16.34;57.48;61.38;24.5;1079.5;0.0;0.44;0.67;0.69
Qwen3.5 2B;Georgia;Georgian;68.97;60.97;11.88;93.5;96.0;0.0;0.0;0.9;0.76
Qwen3.5 2B;Germany;German;15.0;60.29;69.1;141.0;847.5;0.0;0.14;0.9;0.55
Qwen3.5 2B;Greece;Modern Greek;51.97;64.56;69.18;369.0;706.0;0.14;0.34;0.85;0.66
Qwen3.5 2B;Greece;Greek;51.97;64.56;69.18;369.0;706.0;0.14;0.34;0.85;0.66
Qwen3.5 2B;Hungary;Hungarian;80.84;64.08;22.7;280.5;321.0;0.0;0.0;1.11;0.78
Qwen3.5 2B;Iceland;Icelandic;30.09;55.48;84.06;183.0;367.5;0.0;0.0;0.97;0.61
Qwen3.5 2B;Ireland;Irish;99.99;50.0;62.84;0.0;984.5;0.0;0.04;0.51;0.68
Qwen3.5 2B;Ireland;English;93.21;70.56;62.84;67.5;605.0;0.0;0.33;0.54;0.57
Qwen3.5 2B;Italy;Italian;52.81;70.77;24.41;205.5;142.0;0.0;0.0;0.7;0.79
Qwen3.5 2B;Netherlands;Dutch;14.07;58.29;63.82;26.5;960.5;0.0;0.26;0.72;0.71
Qwen3.5 2B;Kosovo;Serbian;59.48;57.76;34.82;249.0;456.5;0.02;0.0;0.81;0.66
Qwen3.5 2B;Kosovo;Albanian;9.51;63.29;34.82;70.5;528.0;0.0;0.0;0.54;0.74
Qwen3.5 2B;Latvia;Latvian;29.91;64.97;25.74;209.0;381.0;0.63;0.0;0.53;0.8
Qwen3.5 2B;Liechtenstein;German;7.75;57.07;28.96;20.0;600.5;0.0;0.0;0.37;0.71
Qwen3.5 2B;Lithuania;Lithuanian;53.26;74.19;24.09;201.5;311.0;0.0;0.0;0.78;0.93
Qwen3.5 2B;Luxembourg;Luxembourgish;73.25;56.7;68.41;71.0;673.5;0.33;0.08;0.3;0.61
Qwen3.5 2B;Luxembourg;German;15.43;60.58;68.41;49.5;845.0;0.0;0.14;0.8;0.62
Qwen3.5 2B;Luxembourg;French;39.76;66.61;68.41;132.0;672.5;0.0;0.55;0.67;0.57
Qwen3.5 2B;Malta;Maltese;52.7;48.91;88.83;140.5;259.0;0.0;0.0;0.68;0.74
Qwen3.5 2B;Malta;English;88.26;69.11;88.83;87.0;227.5;0.75;0.0;0.31;0.48
Qwen3.5 2B;Moldova;Romanian;67.18;71.2;38.41;389.5;296.5;0.02;0.0;0.92;0.7
Qwen3.5 2B;Monaco;French;25.57;61.76;13.7;39.5;257.0;0.08;0.0;0.39;0.81
Qwen3.5 2B;Montenegro;Montenegrin;99.99;50.0;49.28;0.0;1342.0;0.0;0.96;0.69;0.66
Qwen3.5 2B;North Macedonia;Macedonian;83.38;61.36;29.26;116.5;406.5;0.0;0.0;0.93;0.72
Qwen3.5 2B;North Macedonia;Albanian;11.95;60.47;29.26;89.5;495.0;0.01;0.0;0.48;0.76
Qwen3.5 2B;Norway;Bokmål;10.0;58.8;68.6;67.5;880.0;0.0;0.15;0.89;0.63
Qwen3.5 2B;Poland;Polish;54.1;71.42;20.5;142.5;218.0;0.0;0.0;0.74;0.88
Qwen3.5 2B;Portugal;Portuguese;75.34;66.69;66.99;245.0;528.0;0.37;0.89;0.58;0.59
Qwen3.5 2B;Romania;Romanian;71.63;69.22;18.63;297.0;154.5;0.0;0.0;1.07;0.84
Qwen3.5 2B;Russia;Russian;74.03;66.85;2.0;0.0;0.0;0.0;0.0;0.99;0.89
Qwen3.5 2B;San Marino;Italian;80.0;63.8;14.97;178.0;196.0;0.0;0.0;1.11;0.83
Qwen3.5 2B;Serbia;Serbian;55.24;71.17;35.26;213.5;284.0;0.06;0.0;0.71;0.74
Qwen3.5 2B;Slovakia;Slovak;51.12;62.52;27.17;228.0;413.0;0.02;0.0;0.78;0.77
Qwen3.5 2B;Slovenia;Slovene;54.1;67.95;50.29;280.0;520.5;0.57;0.01;0.62;0.66
Qwen3.5 2B;Spain;Spanish;73.59;76.57;77.97;206.5;443.0;0.42;0.54;0.46;0.48
Qwen3.5 2B;Sweden;Swedish;17.76;56.27;66.07;99.5;927.0;0.0;0.06;0.82;0.67
Qwen3.5 2B;Switzerland;Italian;67.13;72.11;50.12;106.0;162.5;0.03;0.0;0.52;0.5
Qwen3.5 2B;Switzerland;German;17.86;56.99;50.12;104.0;1061.5;0.0;0.38;0.6;0.68
Qwen3.5 2B;Switzerland;French;25.9;62.73;50.12;91.0;875.0;0.0;0.1;0.51;0.71
Qwen3.5 2B;Turkey;Turkish;0.0;50.0;4.75;0.0;118.0;0.07;0.0;0.07;0.68
Qwen3.5 2B;Ukraine;Ukrainian;25.57;62.82;18.76;178.0;275.0;0.57;0.0;0.5;0.81
Qwen3.5 2B;United Kingdom;English;74.98;76.62;45.65;290.5;350.0;0.0;0.0;0.78;0.7
Qwen3.5 9B;Albania;Albanian;22.09;60.07;35.45;205.0;536.5;0.11;0.0;0.6;0.72
Qwen3.5 9B;Andorra;Catalan;68.37;77.34;43.0;176.0;377.0;0.0;0.0;0.66;0.84
Qwen3.5 9B;Armenia;Armenian;28.82;69.8;9.16;30.0;166.5;0.0;0.0;0.38;0.96
Qwen3.5 9B;Austria;German;65.21;69.91;53.98;201.5;430.5;0.16;0.03;0.5;0.65
Qwen3.5 9B;Azerbaijan;Azerbaijani;1.26;62.84;2.25;4.0;36.0;0.72;0.0;0.05;0.86
Qwen3.5 9B;Belarus;Belarusian;26.01;59.88;10.16;35.5;172.5;0.01;0.0;0.31;0.81
Qwen3.5 9B;Belarus;Russian;16.39;62.47;10.16;61.0;163.5;0.29;0.0;0.28;0.84
Qwen3.5 9B;Belgium;Dutch;36.93;61.36;85.31;34.0;377.0;0.0;0.0;0.76;0.59
Qwen3.5 9B;Belgium;German;67.23;71.97;85.31;119.0;326.5;0.02;0.02;0.52;0.53
Qwen3.5 9B;Belgium;French;49.27;72.45;85.31;74.5;344.5;0.0;0.05;0.65;0.51
Qwen3.5 9B;Bosnia & Herzegovina;Bosnian;14.94;80.42;39.63;84.0;163.0;0.0;0.0;0.47;0.7
Qwen3.5 9B;Bosnia & Herzegovina;Serbian;61.85;71.94;39.63;209.5;229.0;0.01;0.0;0.64;0.64
Qwen3.5 9B;Bosnia & Herzegovina;Croatian;34.19;72.16;39.63;230.0;316.5;0.52;0.0;0.52;0.68
Qwen3.5 9B;Bulgaria;Bulgarian;61.42;76.57;21.26;94.5;186.0;0.0;0.0;0.71;0.91
Qwen3.5 9B;Croatia;Croatian;56.25;76.45;49.14;279.5;452.5;0.4;0.0;0.62;0.75
Qwen3.5 9B;Cyprus;Modern Greek;45.34;79.52;33.69;316.5;193.0;0.21;0.0;0.69;0.84
Qwen3.5 9B;Cyprus;Greek;45.34;79.52;33.69;316.5;193.0;0.21;0.0;0.69;0.84
Qwen3.5 9B;Cyprus;Turkish;19.09;76.2;33.69;187.0;317.5;0.09;0.0;0.62;0.84
Qwen3.5 9B;Czechia;Czech;19.5;74.49;33.17;198.0;221.5;0.05;0.0;0.57;0.77
Qwen3.5 9B;Denmark;Danish;54.38;65.87;80.1;129.0;332.5;0.0;0.01;0.63;0.54
Qwen3.5 9B;Estonia;Estonian;28.31;72.56;45.91;184.0;394.0;0.03;0.0;0.56;0.73
