Country;Rainbow Map;Qwen3.5 2B;Qwen3.5 9B;Qwen3.5 27B;LlaMA 3.2 3B;LlaMA 3.1 8B;LlaMA 3.1 70B;DeepSeek-V3.2;Sonnet 4.6;GPT 5.4;Gemini 3 Flash
Albania;41;38;30;42;47;56;55;26;25;57;52
Andorra;43;61;61;43;21;42;60;67;46;77;68
Armenia;9;38;32;10;28;76;40;16;10;40;42
Austria;55;41;62;51;50;50;50;74;42;71;66
Azerbaijan;2;54;9;16;50;50;50;24;7;28;17
Belarus;7;82;20;22;23;30;45;16;16;33;22
Belgium;85;44;55;53;39;43;48;72;54;77;71
Bosnia & Herzegovina;37;71;35;35;27;37;37;33;21;55;49
Bulgaria;20;62;56;46;27;44;39;35;15;37;36
Croatia;51;71;52;43;22;55;48;55;34;65;59
Cyprus;34;51;40;31;20;52;54;40;29;55;56
Czechia;37;76;38;50;22;41;51;47;36;56;46
Denmark;85;51;57;61;48;66;69;55;46;71;67
Estonia;46;73;40;40;26;46;53;56;34;56;55
Finland;70;42;60;59;38;64;67;61;54;67;69
France;60;42;48;43;13;36;50;52;45;74;65
Georgia;12;68;18;29;47;31;35;25;17;55;42
Germany;70;40;62;52;50;50;50;72;46;72;72
Greece;69;71;51;43;28;77;57;42;44;74;76
Hungary;23;72;59;43;50;50;50;36;19;44;43
Iceland;86;44;70;51;50;50;50;73;64;79;83
Ireland;63;91;55;58;52;56;50;59;47;66;55
Italy;24;72;57;40;20;66;46;49;25;52;38
Kosovo;35;53;41;51;45;50;49;38;32;62;53
Latvia;26;49;34;37;50;50;50;41;23;49;37
Liechtenstein;29;37;55;37;50;50;50;63;33;62;50
Lithuania;24;59;73;52;28;57;57;34;19;52;46
Luxembourg;68;57;57;54;39;42;48;74;57;75;69
Malta;88;74;49;55;51;50;48;64;58;73;77
Moldova;38;62;42;34;22;47;52;21;17;55;48
Monaco;14;43;31;20;19;28;43;19;14;42;28
Montenegro;53;91;8;10;49;49;50;68;62;27;62
Netherlands;64;40;50;58;50;50;50;74;51;68;64
North Macedonia;29;58;35;43;36;51;51;38;25;53;48
Norway;69;35;58;65;23;55;59;67;59;72;71
Poland;22;65;38;23;24;53;54;27;18;47;28
Portugal;67;77;47;61;31;57;56;72;56;76;75
Romania;19;68;55;42;30;60;52;19;25;52;43
Russia;2;78;19;18;35;39;57;23;20;37;24
San Marino;29;78;51;33;19;53;50;55;30;57;43
Serbia;34;67;54;52;39;44;48;36;30;57;53
Slovakia;25;64;32;42;30;23;46;36;27;49;36
Slovenia;54;66;66;49;35;44;46;66;38;69;59
Spain;89;77;62;52;29;64;57;74;55;80;71
Sweden;68;41;53;67;38;75;59;65;55;71;61
Switzerland;50;54;57;44;33;55;48;60;35;59;55
Turkey;5;23;27;23;12;24;44;17;12;29;15
Ukraine;19;47;33;27;17;63;48;18;16;48;36
United Kingdom;44;79;49;46;48;63;50;61;44;61;51
