Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Intersex bodily integrity;Access to justice for victims and reparations;0.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
Civil society space;Public event held, no state obstruction of freedom of assembly (last 3 years);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Civil society space;Public event held, there is enough protection (last 3 years);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Civil society space;Associations operate, no state obstruction of freedom association (last 3 years);1.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
Civil society space;LGBTI human rights defenders are not at risk;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Civil society space;No laws limiting external funding;0.6;0.2;0.6;0.3;0.04;1.0;0.04;0.04;1.0;0.04
Civil society space;No laws limiting freedom of expression (national/local);0.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
Asylum;Asylum law (sexual orientation);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Asylum;Other positive measures (sexual orientation);1.0;1.0;0.2;0.9;1.0;1.0;1.0;0.36;1.0;0.36
Asylum;Asylum law (gender identity);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Asylum;Other positive measures (gender identity);1.0;1.0;0.6;0.7;1.0;1.0;1.0;0.04;1.0;0.04
Asylum;Asylum law (intersex);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Asylum;Other positive measures (intersex);1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
Equality & non-discrimination;Conversion practices ban (gender identity);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (gender identity);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality action plan (gender identity);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Law (gender expression);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Constitution (sex characteristics);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Employment (sex characteristics);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Equality & non-discrimination;Goods & services (sex characteristics);0.4;0.8;0.0;0.9;0.04;1.0;0.04;1.0;1.0;1.0
Equality & non-discrimination;Education (sex characteristics);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Health (sex characteristics);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Equality body mandate (sex characteristics);0.4;1.0;0.2;0.9;0.04;1.0;0.04;0.36;1.0;0.36
Equality & non-discrimination;Equality action plan (sex characteristics);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Blood donations;1.0;0.8;0.0;0.9;1.0;1.0;1.0;1.0;1.0;1.0
Family;Marriage equality;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;Registered partnership (similar rights to marriage);0.4;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Family;Registered partnership (limited rights);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;Cohabitation;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;No constitutional limitation on marriage;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Joint adoption;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Family;Second-parent adoption;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;Automatic co-parent recognition;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Medically assisted insemination (couples);0.6;0.6;0.2;0.7;0.04;1.0;0.04;0.36;1.0;0.36
Family;Medically assisted insemination (singles);1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Recognition of trans parenthood;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Hate crime & hate speech;Hate crime law (sexual orientation);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Hate crime & hate speech;Hate speech law (sexual orientation);0.8;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Hate crime & hate speech;Policy tackling hatred (sexual orientation);0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
