Category;Subcategory;Value;Description;Support;Opposition;Fact-Check
Equality & non-discrimination;Constitution (sexual orientation);0.16;"Constitution (sexual orientation) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes sexual orientation in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on sexual orientation is effectively prohibited by this article. This must be demonstrated in the Constitutions preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on sexual orientation, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)";The Constitution should explicitly prohibit discrimination based on sexual orientation.;The Constitution should not prohibit discrimination based on sexual orientation.;The Constitution contains an article that prohibit discrimination based on sexual orientation.
Equality & non-discrimination;Employment (sexual orientation);1.1;Employment (sexual orientation) covers employment anti-discrimination legislation. Only express mention of sexual orientation should be counted.;Employment laws should prohibit discrimination based on sexual orientation in employment.;Employment laws should not prohibit discrimination based on sexual orientation in employment.;Employment laws include sexual orientation as grounds of discrimination.
Equality & non-discrimination;Goods & services (sexual orientation);1.1;Employment laws should explicitly prohibit discrimination based on sexual orientation.;Laws should prohibit discrimination based on sexual orientation in access to goods and services.;Laws should not prohibit discrimination based on sexual orientation in access to goods and services.;Laws prohibit discrimination based on sexual orientation in access to goods and services.
Equality & non-discrimination;Education (sexual orientation);1.1;Laws should explicitly prohibit discrimination based on sexual orientation in the field of education.;Laws should prohibit discrimination based on sexual orientation in education.;Laws should not prohibit discrimination based on sexual orientation in education.;Laws prohibit discrimination based on sexual orientation in the field of education.
Equality & non-discrimination;Health (sexual orientation);1.1;Health (sexual orientation) covers legislation prohibiting discrimination in the field of health. Only express mention of sexual orientation only should be counted.;Laws should prohibit discrimination based on sexual orientation in healthcare.;Laws should not prohibit discrimination based on sexual orientation in healthcare.;Laws prohibit discrimination based on sexual orientation in the field of healthcare.
Equality & non-discrimination;Conversion practices ban (sexual orientation);0.8;Conversion practices ban (sexual orientation) for minors covers legislation and policies prohibiting reparative or conversion practices which are based upon the assumption that homosexuality/bisexuality per se is a mental disorder or based upon the a priori assumption that a patient should change their sexual orientation.;Laws should prohibit conversion or reparative practices aimed at changing a minor's sexual orientation.;Laws should allow conversion or reparative practices aimed at changing a minor's sexual orientation.;Laws prohibit conversion or reparative practices aimed at changing a minors sexual orientation.
Equality & non-discrimination;Equality body mandate (sexual orientation);0.78;Equality body mandate (sexual orientation) covers when a national human rights institution / equality body is explicitly mandated to work on sexual orientation in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering sexual orientation.;Human rights institution or equality body should be explicitly mandated and active in addressing issues related to sexual orientation.;An equality body should not be involved in addressing issues related to sexual orientation.;National human rights institutions or equality bodies are actively engaged in addressing issues related to sexual orientation.
Equality & non-discrimination;Equality action plan (sexual orientation);0.88;"Equality action plan (sexual orientation) covers action plans which expressly include sexual orientation, and include specific measures for progress. In addition, we only take into account when the action plan either entails or is followed up with the following measures:
- Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure";National equality action plans should include sexual orientation and contain concrete implementation measures, monitoring, resources, and responsibilities.;National equality action plans should not include or address sexual orientation.;National equality action plans include sexual orientation and contain concrete implementation measures such as monitoring, resources, and responsibilities.
Equality & non-discrimination;Constitution (gender identity);0.16;"Constitution (gender identity) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes gender identity in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on gender identity is effectively prohibited by this article. This must be demonstrated in the Constitutions preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on gender identity, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)";The Constitution should explicitly prohibit discrimination based on gender identity.;The Constitution should not prohibit discrimination based on gender identity.;The Constitution contains an article that prohibit discrimination based on gender identity.
Equality & non-discrimination;Employment (gender identity);1.1;Employment (gender identity) covers employment anti-discrimination legislation. Only express mention of gender identity should be counted.;Employment laws should prohibit discrimination based on gender identity in employment.;Employment laws should not prohibit discrimination based on gender identity in employment.;Employment laws include gender identity as grounds of discrimination.
