language;country;value
Albanian;No Country;0.62
Armenian;No Country;0.63
Azerbaijani;No Country;0.55
Belarusian;No Country;0.66
Bokmål;No Country;0.63
Bosnian;No Country;0.56
Bulgarian;No Country;0.6
Catalan;No Country;0.65
Croatian;No Country;0.58
Czech;No Country;0.63
Danish;No Country;0.6
Dutch;No Country;0.61
English;No Country;0.63
Estonian;No Country;0.56
Finnish;No Country;0.62
French;No Country;0.65
Georgian;No Country;0.6
German;No Country;0.63
Greek;No Country;0.68
Hungarian;No Country;0.66
Icelandic;No Country;0.63
Irish;No Country;0.63
Italian;No Country;0.71
Latvian;No Country;0.61
Lithuanian;No Country;0.67
Luxembourgish;No Country;0.54
Macedonian;No Country;0.63
Maltese;No Country;0.73
Montenegrin;No Country;0.67
Polish;No Country;0.62
Portuguese;No Country;0.58
Romanian;No Country;0.65
Russian;No Country;0.65
Serbian;No Country;0.61
Slovak;No Country;0.6
Slovene;No Country;0.65
Spanish;No Country;0.61
Swedish;No Country;0.62
Turkish;No Country;0.51
Ukrainian;No Country;0.62
English;Albania;0.53
English;Andorra;0.46
English;Armenia;0.35
English;Austria;0.61
English;Azerbaijan;0.37
English;Belarus;0.26
English;Belgium;0.45
English;Bosnia & Herzegovina;0.49
English;Bulgaria;0.45
English;Croatia;0.52
English;Cyprus;0.59
English;Czechia;0.56
English;Denmark;0.41
English;Estonia;0.51
English;Finland;0.4
English;France;0.48
English;Georgia;0.49
English;Germany;0.47
English;Greece;0.52
English;Hungary;0.53
English;Iceland;0.45
English;Ireland;0.48
English;Italy;0.56
English;Kosovo;0.53
English;Latvia;0.58
English;Liechtenstein;0.57
English;Lithuania;0.54
English;Luxembourg;0.43
English;Malta;0.47
English;Moldova;0.54
English;Monaco;0.48
English;Montenegro;0.55
English;Netherlands;0.54
English;North Macedonia;0.56
English;Norway;0.44
English;Poland;0.55
English;Portugal;0.45
English;Romania;0.51
English;Russia;0.39
English;San Marino;0.58
English;Serbia;0.47
English;Slovakia;0.53
English;Slovenia;0.55
English;Spain;0.44
English;Sweden;0.45
English;Switzerland;0.5
English;Turkey;0.35
English;Ukraine;0.5
English;United Kingdom;0.53
Albanian;Albania;0.53
Albanian;Kosovo;0.53
Albanian;North Macedonia;0.54
Armenian;Armenia;0.46
Azerbaijani;Azerbaijan;0.36
Belarusian;Belarus;0.38
Bokmål;Norway;0.6
Bosnian;Bosnia & Herzegovina;0.48
Bulgarian;Bulgaria;0.52
Catalan;Andorra;0.6
Croatian;Bosnia & Herzegovina;0.46
Croatian;Croatia;0.54
Czech;Czechia;0.57
Danish;Denmark;0.65
Dutch;Belgium;0.57
Dutch;Netherlands;0.59
English;Ireland;0.45
English;Malta;0.47
English;United Kingdom;0.55
Estonian;Estonia;0.55
Finnish;Finland;0.61
French;Belgium;0.64
French;France;0.59
French;Luxembourg;0.6
French;Monaco;0.32
French;Switzerland;0.55
Georgian;Georgia;0.49
German;Austria;0.62
German;Belgium;0.52
German;Germany;0.55
German;Liechtenstein;0.56
German;Luxembourg;0.53
German;Switzerland;0.56
Greek;Cyprus;0.66
Greek;Greece;0.59
Hungarian;Hungary;0.57
Icelandic;Iceland;0.54
Irish;Ireland;0.6
Italian;Italy;0.54
Italian;San Marino;0.62
Italian;Switzerland;0.54
Latvian;Latvia;0.53
Lithuanian;Lithuania;0.57
Luxembourgish;Luxembourg;0.47
Macedonian;North Macedonia;0.55
Maltese;Malta;0.64
Montenegrin;Montenegro;0.67
Polish;Poland;0.46
Portuguese;Portugal;0.53
Romanian;Moldova;0.61
Romanian;Romania;0.58
Russian;Belarus;0.39
Russian;Russia;0.4
Serbian;Bosnia & Herzegovina;0.49
Serbian;Kosovo;0.59
Serbian;Serbia;0.51
Slovak;Slovakia;0.47
Slovene;Slovenia;0.58
Spanish;Spain;0.51
Swedish;Finland;0.59
Swedish;Sweden;0.55
Turkish;Cyprus;0.5
Turkish;Turkey;0.24
Ukrainian;Ukraine;0.52
