Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Equality & non-discrimination;Constitution (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Employment (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Goods & services (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Education (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Health (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Conversion practices ban (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Equality body mandate (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Equality action plan (sexual orientation);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Constitution (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Employment (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Goods & services (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Education (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Health (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Conversion practices ban (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Equality body mandate (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Equality action plan (gender identity);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Law (gender expression);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Constitution (sex characteristics);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
Equality & non-discrimination;Employment (sex characteristics);0.5;0.5;0.5;0.5;;0.0;0.0;;0.0;0.0
