Country;Predicted;Rainbow Map
Albania;47.68200000000001;35.449999999999996
Andorra;5.922000000000001;42.99999999999999
Armenia;22.083000000000006;9.16
Austria;51.34400000000001;53.98369999999999
Azerbaijan;56.543000000000006;2.25
Belarus;9.079;10.16
Belgium;59.962;85.31000000000002
Bosnia & Herzegovina;6.798;39.633537000000004
Bulgaria;14.644000000000004;21.259999999999998
Croatia;3.8360000000000003;49.13999999999999
Cyprus;24.676999999999992;33.69
Cyprus;24.676999999999992;33.69
Czechia;5.071999999999999;33.17
Denmark;41.675999999999995;80.10000000000002
Estonia;4.569000000000001;45.91
Finland;37.291999999999994;69.85000000000001
France;0.35200000000000004;61.38
