Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Equality & non-discrimination;Constitution (sexual orientation);1.0;0.5;0.1;0.7;1.0;1.0;1.0;1.0;0.8;0.8
Equality & non-discrimination;Employment (sexual orientation);1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Goods & services (sexual orientation);1.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Education (sexual orientation);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Health (sexual orientation);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Equality & non-discrimination;Conversion practices ban (sexual orientation);0.0;0.5;0.5;0.5;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Equality body mandate (sexual orientation);1.0;1.0;0.2;0.9;1.0;1.0;1.0;1.0;0.6;0.6
Equality & non-discrimination;Equality action plan (sexual orientation);1.0;1.0;0.5;0.75;1.0;1.0;1.0;;0.0;0.0
Equality & non-discrimination;Constitution (gender identity);1.0;0.5;0.1;0.7;1.0;1.0;1.0;1.0;0.8;0.8
Equality & non-discrimination;Employment (gender identity);0.6;0.5;0.5;0.5;0.04;1.0;0.04;;0.0;0.0
