Country;Predicted;Rainbow Map
Albania;50.54600000000001;35.449999999999996
Andorra;0.032;42.99999999999999
Armenia;21.209999999999997;9.16
Austria;51.57000000000002;53.98369999999999
Azerbaijan;55.24700000000001;2.25
Belarus;9.309000000000001;10.16
Belarus;32.724;10.16
Belgium;55.05800000000001;85.31000000000002
Belgium;51.57000000000002;85.31000000000002
Belgium;0.6000000000000001;85.31000000000002
Bosnia & Herzegovina;1.5560000000000003;39.633537000000004
Bosnia & Herzegovina;32.690000000000005;39.633537000000004
Bosnia & Herzegovina;4.710000000000001;39.633537000000004
Bulgaria;17.932;21.259999999999998
Croatia;4.710000000000001;49.13999999999999
Cyprus;13.09;33.69
Cyprus;13.09;33.69
Cyprus;0.0;33.69
Czechia;4.768;33.17
Denmark;33.396000000000015;80.10000000000002
Estonia;1.3110000000000004;45.91
Finland;19.47;69.85000000000001
France;0.6000000000000001;61.38
Georgia;51.27;11.88
